Molecule                                  E_HF (Eh)          E_CCSD (Eh)    E_UHF-UCCSD(T) (Eh)    E_UHF-UCCSDT (Eh)      E_CCSDT(Q) (Eh)        E_AFQMC (Eh)  E_AFQMC ERR (Eh)
hocn                                   -167.788951         -168.365789           -168.392964         -168.392653         -168.394791         -168.392714          0.000261
hof                                    -174.803760         -175.314447           -175.332293         -175.332326         -175.333625         -175.332663          0.000183
honc                                   -167.693781         -168.271380           -168.299175         -168.299083         -168.301131         -168.299608          0.000338
hoo                                    -150.236339         -150.693825           -150.710776         -150.711341         -150.712550         -150.711657          0.000217
hooh                                   -150.835352         -151.336395           -151.354596         -151.354573         -151.355865         -151.355197          0.000211
hs                                     -398.104884         -398.278849           -398.284832         -398.285630         -398.285833         -398.285708          0.000038
ketene                                 -151.783872         -152.329259           -152.355501         -152.355765         -152.357444         -152.356058          0.000246
methanol                               -115.088743         -115.529986           -115.544430         -115.544709         -115.545302         -115.545546          0.000209
n-butane                               -157.354429         -158.111495           -158.139411         -158.140191         -158.141214         -158.140833          0.000181
n-pentane                              -196.401936         -197.340767           -197.376129         -197.377011         -197.378347         -197.378249          0.000200
n2                                     -108.982944         -109.355326           -109.373905         -109.373617         -109.375430         -109.374106          0.000280
n2h                                    -109.467580         -109.846366           -109.864008         -109.864727         -109.866116         -109.865271          0.000225
n2h4                                   -111.223146         -111.675498           -111.691534         -111.691735         -111.692492         -111.692253          0.000132
n2o                                    -183.748836         -184.371641           -184.407144         -184.406158         -184.409886         -184.406310          0.000783
n2o4                                   -408.191109         -409.545315           -409.624904         -409.623139         -409.630469         -409.625747          0.000957
nccn                                   -184.647079         -185.315041           -185.354307         -185.353476         -185.357464         -185.355723          0.000499
nh                                      -54.980997          -55.135314            -55.139025          -55.139469          -55.139565          -55.139485          0.000029
nh2                                     -55.585510          -55.784726            -55.790197          -55.790611          -55.790802          -55.790746          0.000053
nh2cl                                  -515.108549         -515.541005           -515.558246         -515.558731         -515.559676         -515.559712          0.000145
nh2f                                   -155.023633         -155.505743           -155.521592         -155.521806         -155.522603         -155.521824          0.000173
nh2oh                                  -131.040628         -131.515846           -131.532614         -131.532729         -131.533657         -131.533281          0.000153
nh3                                     -56.217142          -56.460614            -56.467995          -56.468221          -56.468512          -56.468391          0.000075
no                                     -129.296353         -129.698352           -129.716834         -129.717160         -129.718703         -129.716776          0.000262
no2                                    -204.109509         -204.764242           -204.800220         -204.800199         -204.803723         -204.798262          0.000352
o2                                     -149.675117         -150.111191           -150.129010         -150.128970         -150.130815         -150.128188          0.000199
o3                                     -224.341630         -225.085912           -225.132704         -225.131990         -225.139128         -225.135964          0.000428
oclo                                   -609.064688         -609.744713           -609.779467         -609.779532         -609.782911         -609.779954          0.000352
ocs                                    -510.339002         -510.887455           -510.918708         -510.918919         -510.921334         -510.919717          0.000383
of                                     -174.192315         -174.653927           -174.670060         -174.671068         -174.672212         -174.670808          0.000337
oh                                      -75.418952          -75.630866            -75.635861          -75.636158          -75.636333          -75.636265          0.000051
oxadiazole                             -260.635491         -261.586556           -261.639019         -261.637673         -261.642244         -261.640262          0.000396
oxetane                                -191.978795         -192.747203           -192.777947         -192.778217         -192.779656         -192.779099          0.000271
oxirane                                -152.925320         -153.513790           -153.537702         -153.537789         -153.539062         -153.538902          0.000224
oxirene                                -151.642188         -152.201762           -152.229561         -152.229385         -152.231473         -152.230733          0.000292
p2                                     -681.489139         -681.785425           -681.807209         -681.807591         -681.810102         -681.808840          0.000256
p4                                    -1363.046711        -1363.647413          -1363.692933        -1363.691954        -1363.696651        -1363.694648          0.000359
pf3                                    -639.297463         -640.195461           -640.223834         -640.224111         -640.225324         -640.224608          0.000234
pf5                                    -838.307432         -839.713415           -839.755500         -839.755499         -839.757134         -839.757066          0.000285
ph3                                    -342.487131         -342.680269           -342.686668         -342.687508         -342.687753         -342.687673          0.000055
propane                                -118.306896         -118.882179           -118.902659         -118.903336         -118.904048         -118.903713          0.000188
propene                                -117.115516         -117.651707           -117.673891         -117.674417         -117.675483         -117.674966          0.000225
propyne                                -115.907308         -116.406488           -116.430011         -116.430167         -116.431686         -116.430842          0.000303
pyrrole                                -208.883115         -209.741587           -209.785257         -209.784665         -209.787504         -209.786934          0.000313
s2                                     -795.096437         -795.435897           -795.455012         -795.456035         -795.457541         -795.456002          0.000158
s2o                                    -869.930853         -870.534747           -870.571451         -870.571746         -870.575531         -870.573084          0.000309
s3                                    -1192.598612        -1193.153300          -1193.191769        -1193.192586        -1193.196915        -1193.195195          0.000225
s4-c2v                                -1590.117605        -1590.876518          -1590.936243        -1590.935968        -1590.944628        -1590.942421          0.000325
sf6                                    -994.300529         -996.020081           -996.075316         -996.075110         -996.077436         -996.077370          0.000433
si2h6                                  -581.370250         -581.675569           -581.684584         -581.686028         -581.686367         -581.686209          0.000076
sif                                    -388.415054         -388.755317           -388.766274         -388.766812         -388.767260         -388.767124          0.000201
sif4                                   -687.147944         -688.255223           -688.286285         -688.286350         -688.287543         -688.287662          0.000288
sih                                    -289.438869         -289.541915           -289.544865         -289.545654         -289.545731         -289.545468          0.000032
sih3f                                  -390.224930         -390.625286           -390.635663         -390.636155         -390.636501         -390.636539          0.000148
sih4                                   -291.260158         -291.426877           -291.430529         -291.431254         -291.431346         -291.431371          0.000035
silole                                 -443.922678         -444.707744           -444.747317         -444.747757         -444.750395         -444.750553          0.000362
sio                                    -363.838388         -364.177054           -364.194913         -364.195143         -364.196881         -364.194438          0.000477
so                                     -472.402821         -472.791087           -472.809386         -472.809966         -472.811539         -472.810139          0.000227
so2                                    -547.287030         -547.936810           -547.970410         -547.970230         -547.973308         -547.971339          0.000466
so3                                    -622.143780         -623.019731           -623.062490         -623.062082         -623.065484         -623.063545          0.000476
ssh                                    -795.669196         -796.029220           -796.046753         -796.048061         -796.049182         -796.048582          0.000132
t-butadiene                            -154.976547         -155.655328           -155.687258         -155.687757         -155.689620         -155.689264          0.000258
t-hcoh                                 -113.834959         -114.232684           -114.248138         -114.248637         -114.249458         -114.249268          0.000210
t-hono                                 -204.720815         -205.399205           -205.431537         -205.431587         -205.434357         -205.432482          0.000396
t-hooo                                 -225.014605         -225.732066           -225.766981         -225.768051         -225.772315         -225.770438          0.000368
t-n2h2                                 -110.037627         -110.455569           -110.474399         -110.474372         -110.475780         -110.474935          0.000237
tetrahedrane                           -153.651394         -154.307569           -154.340341         -154.339797         -154.341831         -154.341288          0.000269
thiophene                              -551.378560         -552.209779           -552.255858         -552.255470         -552.258771         -552.257911          0.000299
trans-c2f2cl2                         -1193.690028        -1194.899799          -1194.950675        -1194.951164        -1194.953931        -1194.953806          0.000533

Atom                                  E_HF (Eh)          E_CCSD (Eh)    E_UHF-UCCSD(T) (Eh)    E_UHF-UCCSDT (Eh)      E_CCSDT(Q) (Eh)        E_AFQMC (Eh)  E_AFQMC ERR (Eh)
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
al                                     -241.879046         -241.930060           -241.931204         -241.931676         -241.931676         -241.931799          0.000019
b                                       -24.532068          -24.596786            -24.598101          -24.598521          -24.598521          -24.598703          0.000016
c                                       -37.691569          -37.778725            -37.780762          -37.781226          -37.781259          -37.781197          0.000018
cl                                     -459.485434         -459.666281           -459.671808         -459.672437         -459.672589         -459.672412          0.000037
f                                       -99.405525          -99.616771            -99.620361          -99.620540          -99.620606          -99.620550          0.000033
h                                        -0.499810           -0.499810             -0.499810           -0.499810           -0.499810           -0.499810          0.000000
n                                       -54.400686          -54.512432            -54.514707          -54.515027          -54.515066          -54.515029          0.000013
o                                       -74.811757          -74.971050            -74.973962          -74.974252          -74.974303          -74.974191          0.000020
p                                      -340.716306         -340.817237           -340.821020         -340.821786         -340.821901         -340.821719          0.000023
s                                      -397.509269         -397.648741           -397.653349         -397.654105         -397.654225         -397.654059          0.000038
si                                     -288.856428         -288.930676           -288.933123         -288.933867         -288.933926         -288.933771          0.000021
