Molecule                                  E_HF (Eh)          E_CCSD (Eh)    E_UHF-UCCSD(T) (Eh)    E_UHF-UCCSDT (Eh)      E_CCSDT(Q) (Eh)
ccl2h2                             -958.0773400000     -958.6659850000       -958.6907640000     -958.6915960000     -958.6927830000
ccl2o                             -1031.8001870000    -1032.5854840000      -1032.6235200000    -1032.6240380000    -1032.6263540000
ccl3h                             -1417.0002630000    -1417.7813960000      -1417.8167360000    -1417.8176280000    -1417.8194640000
ccl4                              -1875.9140350000    -1876.8901380000      -1876.9366710000    -1876.9374870000    -1876.9400510000
cclh3                              -499.1474740000     -499.5467010000       -499.5616690000     -499.5623280000     -499.5629470000
cf                                 -137.2248310000     -137.5915360000       -137.6045530000     -137.6051360000     -137.6056780000
cf2                                -236.7549560000     -237.3963780000       -237.4190760000     -237.4194790000     -237.4205390000
cf2cl2                            -1155.8565610000    -1156.9198350000      -1156.9610800000    -1156.9616370000    -1156.9634910000
cf4                                -435.8152950000     -436.9654300000       -437.0010960000     -437.0010530000     -437.0023840000
ch                                  -38.2812370000      -38.4056850000        -38.4089240000      -38.4095680000      -38.4096430000
ch2-sing                            -38.8921160000      -39.0538110000        -39.0585230000      -39.0593390000      -39.0595250000
ch2-trip                            -38.9375170000      -39.0719220000        -39.0752170000      -39.0757080000      -39.0757770000
ch2c                                -76.7934270000      -77.1001540000        -77.1142500000      -77.1150530000      -77.1158520000
ch2ch                               -77.4197990000      -77.7345240000        -77.7480340000      -77.7492700000      -77.7499950000
ch2clf                             -598.0328460000     -598.6675390000       -598.6902200000     -598.6908040000     -598.6917390000
ch2f2                              -237.9944630000     -238.6753610000       -238.6958510000     -238.6960900000     -238.6968070000
ch2nh                               -94.0666250000      -94.4515340000        -94.4680460000      -94.4682430000      -94.4692370000
ch2nh2                              -94.6299800000      -95.0182130000        -95.0319700000      -95.0324750000      -95.0330420000
ch3                                 -39.5772100000      -39.7523240000        -39.7568890000      -39.7573650000      -39.7574700000
ch3f                               -139.0941110000     -139.5405710000       -139.5535860000     -139.5539150000     -139.5543310000
ch3nh                               -94.6302750000      -95.0096840000        -95.0224840000      -95.0231760000      -95.0236380000
ch3nh2                              -95.2523860000      -95.6744210000        -95.6888310000      -95.6892010000      -95.6897590000
ch3ph2                             -381.5385220000     -381.9126180000       -381.9264800000     -381.9274430000     -381.9280240000
ch4                                 -40.2130310000      -40.4266840000        -40.4327390000      -40.4331430000      -40.4332820000
chf3                               -336.9065120000     -337.8222250000       -337.8503790000     -337.8504950000     -337.8515240000
cis-c2f2cl2                       -1193.6882000000    -1194.8983880000      -1194.9493360000    -1194.9498270000    -1194.9526090000
cl                                 -459.4854340000     -459.6662810000       -459.6718080000     -459.6724370000     -459.6725890000
cl2                                -918.9987090000     -919.4091250000       -919.4264590000     -919.4272710000     -919.4282510000
cl2o                               -993.7774340000     -994.4287090000       -994.4583040000     -994.4587980000     -994.4610760000
clcn                               -551.8298290000     -552.3696300000       -552.3979460000     -552.3979200000     -552.4002590000
clcof                              -671.7674880000     -672.5969130000       -672.6319900000     -672.6322300000     -672.6341740000
clf                                -558.9007620000     -559.3633180000       -559.3797400000     -559.3802120000     -559.3811730000
clf3                               -757.6578030000     -758.6595740000       -758.6984530000     -758.6988650000     -758.7015060000
clf5                               -956.3983420000     -957.9445930000       -958.0064450000     -958.0065100000     -958.0106120000
clno                               -588.7670530000     -589.4077640000       -589.4434860000     -589.4442090000     -589.4477700000
clo                                -534.3032970000     -534.7171530000       -534.7341190000     -534.7352340000     -534.7364330000
clo3                               -683.8330770000     -684.7482090000       -684.7951690000     -684.7949620000     -684.7990720000
cloo                               -609.0758780000     -609.7608190000       -609.8005300000     -609.8024740000     -609.8081520000
cloocl                            -1068.5654290000    -1069.4595930000      -1069.5024550000    -1069.5027740000    -1069.5065310000
cn                                  -92.2346840000      -92.5472230000        -92.5657040000      -92.5680560000      -92.5704200000
co                                 -112.7799500000     -113.1385330000       -113.1555380000     -113.1556730000     -113.1567970000
co2                                -187.7066650000     -188.2986240000       -188.3271640000     -188.3269510000     -188.3289460000
cs                                 -435.3523520000     -435.6713990000       -435.6927020000     -435.6932620000     -435.6949730000
cs2                                -832.9665680000     -833.4727030000       -833.5075010000     -833.5079330000     -833.5109990000
cyclobutadiene                     -153.6945740000     -154.3495250000       -154.3848530000     -154.3850980000     -154.3877590000
cyclobutane                        -156.1491720000     -156.8724280000       -156.9017110000     -156.9021400000     -156.9034020000
cyclobutene                        -154.9522760000     -155.6373320000       -155.6687480000     -155.6689020000     -155.6706410000
cyclopentadiene                    -192.8568790000     -193.6857430000       -193.7271600000     -193.7270910000     -193.7296870000
cyclopropane                       -117.1003800000     -117.6397790000       -117.6614110000     -117.6617510000     -117.6627040000
cyclopropene                       -115.8644320000     -116.3683300000       -116.3923240000     -116.3923650000     -116.3938280000
cyclopropyl                        -116.4562080000     -116.9588300000       -116.9793870000     -116.9799820000     -116.9809070000
dioxetan2one                       -301.5887890000     -302.5945200000       -302.6392190000     -302.6388170000     -302.6414670000
dioxetane                          -227.8173240000     -228.6295420000       -228.6615760000     -228.6615770000     -228.6631580000
dioxirane                          -188.6769930000     -189.3251810000       -189.3542730000     -189.3538830000     -189.3563660000
dithiotane                         -873.1546530000     -873.8754100000       -873.9105230000     -873.9112130000     -873.9133230000
ethanol                            -154.1418580000     -154.7642360000       -154.7860240000     -154.7864380000     -154.7873190000
f                                   -99.4055250000      -99.6167710000        -99.6203610000      -99.6205400000      -99.6206060000
f2                                 -198.7519140000     -199.2780950000       -199.2961070000     -199.2960980000     -199.2976840000
f2co                               -311.7375140000     -312.6102780000       -312.6422970000     -312.6422130000     -312.6438400000
f2o                                -273.5576980000     -274.3196520000       -274.3492640000     -274.3493240000     -274.3518470000
fccf                               -274.5666360000     -275.3599040000       -275.3915560000     -275.3914900000     -275.3934170000
fno                                -228.7060330000     -229.3958240000       -229.4287660000     -229.4289670000     -229.4318530000
fo2                                -248.9814410000     -249.7219520000       -249.7610310000     -249.7621340000     -249.7674640000
foof                               -348.3324380000     -349.3566550000       -349.4067780000     -349.4070870000     -349.4131210000
formamide                          -169.0008480000     -169.6110370000       -169.6366500000     -169.6368360000     -169.6382720000
formic                             -188.8407320000     -189.4723790000       -189.4984080000     -189.4984340000     -189.4999680000
formic-anhydride                   -301.5970620000     -302.5999010000       -302.6451060000     -302.6450110000     -302.6477950000
furan                              -228.7064320000     -229.5849650000       -229.6290450000     -229.6285010000     -229.6314160000
glyoxal                            -226.6754090000     -227.4493260000       -227.4843370000     -227.4844330000     -227.4868090000
h                                    -0.4998100000       -0.4998100000         -0.4998100000       -0.4998100000       -0.4998100000
h2                                   -1.1329450000       -1.1708540000         -1.1708540000       -1.1708540000       -1.1708540000
h2ccn                              -131.3516440000     -131.8373950000       -131.8610150000     -131.8618720000     -131.8637500000
h2cn                                -93.4658850000      -93.8053630000        -93.8199910000      -93.8211860000      -93.8220770000
h2co                               -113.9112650000     -114.3143980000       -114.3308610000     -114.3310330000     -114.3320460000
h2no                               -130.4474620000     -130.8849040000       -130.9007180000     -130.9010070000     -130.9019670000
h2o                                 -76.0565310000      -76.3208860000        -76.3283070000      -76.3283920000      -76.3287450000
h2s                                -398.7126910000     -398.9232650000       -398.9308780000     -398.9315620000     -398.9318830000
hccf                               -175.7121850000     -176.2688860000       -176.2929940000     -176.2929770000     -176.2945420000
hcl                                -460.1065780000     -460.3271520000       -460.3346610000     -460.3351590000     -460.3354520000
hclo4                              -759.2844730000     -760.4534260000       -760.5079360000     -760.5071630000     -760.5107810000
hcn                                 -92.9073340000      -93.2559560000        -93.2738750000      -93.2737180000      -93.2753140000
hcnh                                -93.4364950000      -93.7895930000        -93.8061500000      -93.8068990000      -93.8080470000
hcno                               -167.6935620000     -168.2869910000       -168.3198790000     -168.3192160000     -168.3223940000
hco                                -113.2921460000     -113.6657090000       -113.6826680000     -113.6830340000     -113.6841720000
hcof                               -212.8318280000     -213.4709240000       -213.4956380000     -213.4957250000     -213.4970820000
hf                                 -100.0576720000     -100.3299190000       -100.3361500000     -100.3361840000     -100.3364240000
hnc                                 -92.8916810000      -93.2325290000        -93.2497910000      -93.2499560000      -93.2510790000
hnco                               -167.8284070000     -168.4022080000       -168.4310010000     -168.4309380000     -168.4329390000
hnnn                               -163.9018280000     -164.5025030000       -164.5368140000     -164.5361450000     -164.5396820000
hno                                -129.8360270000     -130.2769130000       -130.2966800000     -130.2966490000     -130.2983760000
hocl                               -534.9192580000     -535.3747050000       -535.3924980000     -535.3928770000     -535.3940190000
hoclo                              -609.6701820000     -610.3719740000       -610.4047100000     -610.4049300000     -610.4077530000
hoclo2                             -684.4744840000     -685.4166280000       -685.4622760000     -685.4619580000     -685.4655980000
hocn                               -167.7889510000     -168.3657890000       -168.3929640000     -168.3926530000     -168.3947910000
hof                                -174.8037600000     -175.3144470000       -175.3322930000     -175.3323260000     -175.3336250000
honc                               -167.6937810000     -168.2713800000       -168.2991750000     -168.2990830000     -168.3011310000
hoo                                -150.2363390000     -150.6938250000       -150.7107760000     -150.7113410000     -150.7125500000
hooh                               -150.8353520000     -151.3363950000       -151.3545960000     -151.3545730000     -151.3558650000
hs                                 -398.1048840000     -398.2788490000       -398.2848320000     -398.2856300000     -398.2858330000
ketene                             -151.7838720000     -152.3292590000       -152.3555010000     -152.3557650000     -152.3574440000
methanol                           -115.0887430000     -115.5299860000       -115.5444300000     -115.5447090000     -115.5453020000
n                                   -54.4006860000      -54.5124320000        -54.5147070000      -54.5150270000      -54.5150660000
n-butane                           -157.3544290000     -158.1114950000       -158.1394110000     -158.1401910000     -158.1412140000
n-pentane                          -196.4019360000     -197.3407670000       -197.3761290000     -197.3770110000     -197.3783469000
n2                                 -108.9829440000     -109.3553260000       -109.3739050000     -109.3736170000     -109.3754300000
n2h                                -109.4675800000     -109.8463660000       -109.8640080000     -109.8647270000     -109.8661160000
n2h4                               -111.2231460000     -111.6754980000       -111.6915340000     -111.6917350000     -111.6924920000
n2o                                -183.7488360000     -184.3716410000       -184.4071440000     -184.4061580000     -184.4098860000
n2o4                               -408.1911090000     -409.5453150000       -409.6249040000     -409.6231390000     -409.6304690000
nccn                               -184.6470790000     -185.3150410000       -185.3543070000     -185.3534760000     -185.3574640000
nh                                  -54.9809970000      -55.1353140000        -55.1390250000      -55.1394690000      -55.1395650000
nh2                                 -55.5855100000      -55.7847260000        -55.7901970000      -55.7906110000      -55.7908020000
nh2cl                              -515.1085490000     -515.5410050000       -515.5582460000     -515.5587310000     -515.5596760000
nh2f                               -155.0236330000     -155.5057430000       -155.5215920000     -155.5218060000     -155.5226030000
nh2oh                              -131.0406280000     -131.5158460000       -131.5326140000     -131.5327290000     -131.5336570000
nh3                                 -56.2171420000      -56.4606140000        -56.4679950000      -56.4682210000      -56.4685120000
no                                 -129.2963530000     -129.6983520000       -129.7168340000     -129.7171600000     -129.7187030000
no2                                -204.1095090000     -204.7642420000       -204.8002200000     -204.8001990000     -204.8037230000
o                                   -74.8117570000      -74.9710500000        -74.9739620000      -74.9742520000      -74.9743030000
o2                                 -149.6751170000     -150.1111910000       -150.1290100000     -150.1289700000     -150.1308150000
o3                                 -224.3416300000     -225.0859120000       -225.1327040000     -225.1319900000     -225.1391280000
oclo                               -609.0646880000     -609.7447130000       -609.7794670000     -609.7795320000     -609.7829110000
ocs                                -510.3390020000     -510.8874550000       -510.9187080000     -510.9189190000     -510.9213340000
of                                 -174.1923150000     -174.6539270000       -174.6700600000     -174.6710680000     -174.6722120000
oh                                  -75.4189520000      -75.6308660000        -75.6358610000      -75.6361580000      -75.6363330000
oxadiazole                         -260.6354910000     -261.5865560000       -261.6390190000     -261.6376730000     -261.6422440000
oxetane                            -191.9787950000     -192.7472030000       -192.7779470000     -192.7782170000     -192.7796560000
oxirane                            -152.9253200000     -153.5137900000       -153.5377020000     -153.5377890000     -153.5390620000
oxirene                            -151.6421880000     -152.2017620000       -152.2295610000     -152.2293850000     -152.2314730000
p                                  -340.7163060000     -340.8172370000       -340.8210200000     -340.8217860000     -340.8219010000
p2                                 -681.4891390000     -681.7854250000       -681.8072090000     -681.8075910000     -681.8101020000
p4                                -1363.0467110000    -1363.6474130000      -1363.6929330000    -1363.6919540000    -1363.6966510000
pf3                                -639.2974630000     -640.1954610000       -640.2238340000     -640.2241110000     -640.2253240000
pf5                                -838.3074320000     -839.7134150000       -839.7555000000     -839.7554990000     -839.7571340000
ph3                                -342.4871310000     -342.6802690000       -342.6866680000     -342.6875080000     -342.6877530000
propane                            -118.3068960000     -118.8821790000       -118.9026590000     -118.9033360000     -118.9040480000
propene                            -117.1155160000     -117.6517070000       -117.6738910000     -117.6744170000     -117.6754830000
propyne                            -115.9073080000     -116.4064880000       -116.4300110000     -116.4301670000     -116.4316860000
pyrrole                            -208.8831150000     -209.7415870000       -209.7852570000     -209.7846650000     -209.7875040000
s                                  -397.5092690000     -397.6487410000       -397.6533490000     -397.6541050000     -397.6542250000
s2                                 -795.0964370000     -795.4358970000       -795.4550120000     -795.4560350000     -795.4575410000
s2o                                -869.9308530000     -870.5347470000       -870.5714510000     -870.5717460000     -870.5755310000
s3                                -1192.5986120000    -1193.1533000000      -1193.1917690000    -1193.1925860000    -1193.1969150000
s4-c2v                            -1590.1176050000    -1590.8765180000      -1590.9362430000    -1590.9359680000    -1590.9446280000
sf6                                -994.3005290000     -996.0200810000       -996.0753160000     -996.0751100000     -996.0774360000
si                                 -288.8564280000     -288.9306760000       -288.9331230000     -288.9338670000     -288.9339260000
si2h6                              -581.3702500000     -581.6755690000       -581.6845840000     -581.6860280000     -581.6863670000
sif                                -388.4150540000     -388.7553170000       -388.7662740000     -388.7668120000     -388.7672600000
sif4                               -687.1479440000     -688.2552230000       -688.2862850000     -688.2863500000     -688.2875430000
sih                                -289.4388690000     -289.5419150000       -289.5448650000     -289.5456540000     -289.5457310000
sih3f                              -390.2249300000     -390.6252860000       -390.6356630000     -390.6361550000     -390.6365010000
sih4                               -291.2601580000     -291.4268770000       -291.4305290000     -291.4312540000     -291.4313460000
silole                             -443.9226780000     -444.7077440000       -444.7473170000     -444.7477570000     -444.7503950000
sio                                -363.8383880000     -364.1770540000       -364.1949130000     -364.1951430000     -364.1968810000
so                                 -472.4028210000     -472.7910870000       -472.8093860000     -472.8099660000     -472.8115390000
so2                                -547.2870300000     -547.9368100000       -547.9704100000     -547.9702300000     -547.9733080000
so3                                -622.1437800000     -623.0197310000       -623.0624900000     -623.0620820000     -623.0654840000
ssh                                -795.6691960000     -796.0292200000       -796.0467530000     -796.0480610000     -796.0491820000
t-butadiene                        -154.9765470000     -155.6553280000       -155.6872580000     -155.6877570000     -155.6896200000
t-hcoh                             -113.8349590000     -114.2326840000       -114.2481380000     -114.2486370000     -114.2494580000
t-hono                             -204.7208150000     -205.3992050000       -205.4315370000     -205.4315870000     -205.4343570000
t-hooo                             -225.0146050000     -225.7320660000       -225.7669810000     -225.7680510000     -225.7723150000
t-n2h2                             -110.0376270000     -110.4555690000       -110.4743990000     -110.4743720000     -110.4757800000
tetrahedrane                       -153.6513940000     -154.3075690000       -154.3403410000     -154.3397970000     -154.3418310000
thiophene                          -551.3785600000     -552.2097790000       -552.2558580000     -552.2554700000     -552.2587710000
trans-c2f2cl2                     -1193.6900280000    -1194.8997990000      -1194.9506750000    -1194.9511640000    -1194.9539310000

# RMSD from CCSDT(Q) [mEh]  (open-shell W4-17, VTZ(f,p))
# Method                   RMSD (mEh)    Uncertainty
# ----------------------------------------------------
# AFQMC                        1.7513         0.0514
# UHF-UCCSD(T)                 2.8185
# UHF-UCCSDT                   2.0882
# RMSD from CCSDT(Q) [mEh]  (full set, VTZ(f,p))
# N = 198 molecules (missing-CCSDT(Q) and atom-only species excluded)
# Method                   RMSD (mEh)    Uncertainty
# ----------------------------------------------------
# AFQMC                        1.4378         0.0313
# UHF-UCCSD(T)                 2.4568
# UHF-UCCSDT                   2.3054
