,,,,,,,,,,,,,,,,,
,"VTZ(f,p)",,,,,,,,,,,,,,,,
ccl4,-1875.914035,-1876.890138,-1876.936671,,,-1876.937487,,-1876.940051,,,,,-1876.940126,,,,
cf2cl2,-1155.856561,-1156.919835,-1156.961080,,,-1156.961637,,-1156.963491,,,,,missing,,,,
fno,-228.706033,-229.395824,-229.428766,,,-229.428967,,-229.431853,,,,,-229.431584,,,,
ch2clf,-598.032846,-598.667539,-598.690220,,,-598.690804,,-598.691739,,,,,-598.691744,,,,
chf3,-336.906512,-337.822225,-337.850379,,,-337.850495,,-337.851524,,,,,-337.851518,,,,
clcof,-671.767488,-672.596913,-672.631990,,,-672.632230,,-672.634174,,,,,missing,,,,
formamide,-169.000848,-169.611037,-169.636650,,,-169.636836,,-169.638272,,,,,-169.638231,,,,
cyclobutadiene,-153.694574,-154.349525,-154.384853,,,-154.385098,,-154.387759,,,,,missing,,,,
allyl,-116.510959,-117.004462,-117.025157,-117.0257547,,-117.026556,-117.0263484,-117.027661,,,,,missing,,,,
cyclopropyl,-116.456208,-116.958830,-116.979387,-116.9793932,,-116.979982,-116.979958,-116.980907,,,,,missing,,,,
h2ccn,-131.351644,-131.837395,-131.861015,-131.8614923,,-131.861872,-131.8616756,-131.863750,,,,,-131.863653,,,,
oxirene,-151.642188,-152.201762,-152.229561,,-152.228595,-152.229385,,-152.231473,-152.228217,,-152.231292,-152.231364,-152.231437,missing,missing,missing,missing
oxirane,-152.925320,-153.513790,-153.537702,,-153.537139,-153.537789,,-153.539062,-153.536555,,-153.538932,-153.538979,-153.539067,missing,missing,missing,missing
dioxirane,-188.676993,-189.325181,-189.354273,,-189.353277,-189.353883,,-189.356366,-189.352608,,-189.356220,-189.356268,-189.356276,missing,missing,missing,missing
ketene,-151.783872,-152.329259,-152.355501,,-152.354902,-152.355765,,-152.357444,-152.354910,,-152.357057,-152.357200,-152.357384,missing,missing,missing,missing
acetaldehyde,-152.974008,-153.556723,-153.580547,,-153.580055,-153.580885,,-153.582169,-153.579675,,-153.581951,-153.582025,-153.582136,missing,missing,missing,missing
formic,-188.840732,-189.472379,-189.498408,,-189.497906,-189.498434,,-189.499968,-189.497650,,-189.499653,-189.499765,-189.499919,missing,missing,missing,missing
acetic,-227.901973,-228.713196,-228.746380,,-228.745714,-228.746503,,-228.748292,-228.745242,,missing,missing,-228.748263,missing,missing,missing,missing
methanol,-115.088743,-115.529986,-115.544430,,-115.544171,-115.544709,,-115.545302,-115.543774,,-115.545251,-115.545270,-115.545311,missing,missing,missing,missing
ethanol,-154.141858,-154.764236,-154.786024,,-154.785578,-154.786438,,-154.787319,-154.784983,,missing,missing,-154.787338,missing,missing,missing,missing
glyoxal,-226.675409,-227.449326,-227.484337,,-227.483480,-227.484433,,-227.486809,-227.483156,,-227.486426,-227.486559,-227.486719,missing,missing,missing,missing
t-hcoh,-113.834959,-114.232684,-114.248138,,-114.247775,-114.248637,,-114.249458,-114.247703,,-114.249270,-114.249333,-114.249410,missing,missing,missing,missing
c-hcoh,-113.826912,-114.225117,-114.240729,,-114.240344,-114.241234,,-114.242066,-114.240277,,-114.241875,-114.241939,-114.242016,missing,missing,missing,missing
hcnh,-93.436495,-93.789593,-93.806150,-93.806466,-93.805606,-93.806899,-93.806857,-93.808047,-93.805676,,-93.807825,-93.807898,-93.807921,missing,missing,missing,missing
hocn,-167.788951,-168.365789,-168.392964,,-168.392176,-168.392653,,-168.394791,-168.391765,,-168.394610,-168.394676,-168.394743,missing,missing,missing,missing
honc,-167.693781,-168.271380,-168.299175,,-168.298365,-168.299083,,-168.301131,-168.297999,,-168.300871,-168.300962,-168.301070,missing,missing,missing,missing
hnco,-167.828407,-168.402208,-168.431001,,-168.430329,-168.430938,,-168.432939,-168.430596,,-168.432421,-168.432620,-168.432861,missing,missing,missing,missing
hcno,-167.693562,-168.286991,-168.319879,,-168.318872,-168.319216,,-168.322394,-168.319397,,-168.321467,-168.321817,-168.322135,missing,missing,missing,missing
c-n2h2,-110.028154,-110.447113,-110.466235,,-110.465532,-110.466200,,-110.467638,-110.465127,,-110.467587,-110.467603,-110.467600,missing,missing,missing,missing
hnnn,-163.901828,-164.502503,-164.536814,,-164.535540,-164.536145,,-164.539682,-164.535649,,-164.539159,-164.539360,-164.539483,missing,missing,missing,missing
hnc,-92.891681,-93.232529,-93.249791,,-93.249323,-93.249956,,-93.251079,-93.249217,,-93.250904,-93.250968,-93.251051,missing,missing,missing,missing
t-hono,-204.720815,-205.399205,-205.431537,,-205.430642,-205.431587,,-205.434357,-205.430817,,-205.433823,-205.434026,-205.434174,missing,missing,missing,missing
c-hono,-204.722113,-205.399425,-205.431715,,-205.430840,-205.431657,,-205.434371,-205.430870,,-205.433871,-205.434055,-205.434209,missing,missing,missing,missing
nh2cl,-515.108549,-515.541005,-515.558246,,-515.557684,-515.558731,,-515.559676,-515.557227,,-515.559645,-515.559656,-515.559676,missing,missing,missing,missing
t-hooo,-225.014605,-225.732066,-225.766981,-225.7669861,-225.765121,-225.768051,-225.7679946,-225.772315,-225.765695,,-225.771839,-225.771971,-225.771735,missing,missing,missing,missing
c-hooo,-225.021249,-225.734141,-225.767247,-225.767914,-225.765737,-225.768199,-225.768675,-225.771870,-225.765981,,-225.771446,-225.771538,-225.771418,missing,missing,missing,missing
ch3f,-139.094111,-139.540571,-139.553586,,-139.553468,-139.553915,,-139.554331,-139.553184,,-139.554248,-139.554278,-139.554332,missing,missing,missing,missing
ch2f2,-237.994463,-238.675361,-238.695851,,-238.695697,-238.696090,,-238.696807,-238.695330,,-238.696624,-238.696691,-238.696802,missing,missing,missing,missing
cf4,-435.815295,-436.965430,-437.001096,,-437.000810,-437.001053,,-437.002384,-437.000268,,missing,missing,-437.002388,missing,missing,missing,missing
sih3f,-390.224930,-390.625286,-390.635663,,-390.635565,-390.636155,,-390.636501,-390.635465,,-390.636399,-390.636436,-390.636494,missing,missing,missing,missing
sif4,-687.147944,-688.255223,-688.286285,,-688.286128,-688.286350,,-688.287543,-688.285636,,missing,missing,-688.287532,missing,missing,missing,missing
c2h3f,-176.953142,-177.544013,-177.566467,,-177.565917,-177.566849,,-177.567920,-177.565657,,-177.567757,-177.567815,-177.567902,missing,missing,missing,missing
c2h5f,-178.148989,-178.776222,-178.796545,,-178.796256,-178.797051,,-178.797740,-178.795804,,missing,missing,-178.797749,missing,missing,missing,missing
fccf,-274.566636,-275.359904,-275.391556,,-275.390827,-275.391490,,-275.393417,-275.390581,,-275.393126,-275.393232,-275.393372,missing,missing,missing,missing
hccf,-175.712185,-176.268886,-176.292994,,-176.292338,-176.292977,,-176.294542,-176.292111,,-176.294356,-176.294424,-176.294506,missing,missing,missing,missing
hcof,-212.831828,-213.470924,-213.495638,,-213.495280,-213.495725,,-213.497082,-213.495184,,-213.496728,-213.496858,-213.497026,missing,missing,missing,missing
f2co,-311.737514,-312.610278,-312.642297,,-312.641872,-312.642213,,-312.643840,-312.641691,,-312.643428,-312.643579,-312.643802,missing,missing,missing,missing
ch2-sing,-38.892116,-39.053811,-39.058523,,-39.058323,-39.059339,,-39.059525,-39.058373,,-39.059520,-39.059522,-39.059520,missing,missing,missing,missing
propane,-118.306896,-118.882179,-118.902659,,-118.902182,-118.903336,,-118.904048,-118.901623,,-118.904004,-118.904021,-118.904075,missing,missing,missing,missing
propene,-117.115516,-117.651707,-117.673891,,-117.673177,-117.674417,,-117.675483,-117.672728,,-117.675427,-117.675446,-117.675490,missing,missing,missing,missing
propyne,-115.907308,-116.406488,-116.430011,,-116.429243,-116.430167,,-116.431686,-116.428804,,-116.431608,-116.431636,-116.431677,missing,missing,missing,missing
allene,-115.904734,-116.403991,-116.427969,,-116.427036,-116.428394,,-116.429792,-116.426689,,-116.429703,-116.429736,-116.429782,missing,missing,missing,missing
b2h6,-52.834427,-53.125740,-53.134718,,-53.134465,-53.135628,,-53.135863,-53.134397,,-53.135831,-53.135844,-53.135867,missing,missing,missing,missing
bhf2,-224.353798,-224.959335,-224.976894,,-224.976820,-224.977092,,-224.977698,-224.976667,,-224.977469,-224.977550,-224.977673,missing,missing,missing,missing
bf3,-323.325973,-324.166537,-324.190943,,-324.190811,-324.191012,,-324.191901,-324.190509,,-324.191637,-324.191730,-324.191883,missing,missing,missing,missing
c2h6,-79.259263,-79.652930,-79.666025,,-79.665748,-79.666585,,-79.666994,-79.665403,,-79.666967,-79.666977,-79.667008,missing,missing,missing,missing
h2cn,-93.465885,-93.805363,-93.819991,-93.820480,-93.819400,-93.821186,-93.821146,-93.822077,-93.819517,,-93.821972,-93.821990,-93.821999,missing,missing,missing,missing
nccn,-184.647079,-185.315041,-185.354307,,-185.352759,-185.353476,,-185.357464,-185.352352,,-185.357242,-185.357323,-185.357326,missing,missing,missing,missing
ch2nh2,-94.629980,-95.018213,-95.031970,-95.031982,-95.031656,-95.032475,-95.032445,-95.033042,-95.031343,,-95.032983,-95.033000,-95.033035,missing,missing,missing,missing
ch3nh,-94.630275,-95.009684,-95.022484,-95.022477,-95.022185,-95.023176,-95.023137,-95.023638,-95.021930,,-95.023594,-95.023608,-95.023637,missing,missing,missing,missing
ch3nh2,-95.252386,-95.674421,-95.688831,,-95.688527,-95.689201,,-95.689759,-95.688109,,-95.689728,-95.689740,-95.689773,missing,missing,missing,missing
cf2,-236.754956,-237.396378,-237.419076,,-237.418797,-237.419479,,-237.420539,-237.419008,,-237.420112,-237.420267,-237.420464,missing,missing,missing,missing
n2h,-109.467580,-109.846366,-109.864008,-109.864460,-109.863350,-109.864727,-109.864674,-109.866116,-109.863362,,-109.865970,-109.866002,-109.866006,missing,missing,missing,missing
t-n2h2,-110.037627,-110.455569,-110.474399,,-110.473727,-110.474372,,-110.475780,-110.473318,,-110.475735,-110.475750,-110.475746,missing,missing,missing,missing
n2h4,-111.223146,-111.675498,-111.691534,,-111.691174,-111.691735,,-111.692492,-111.690667,,-111.692463,-111.692474,-111.692504,missing,missing,missing,missing
fo2,-248.981441,-249.721952,-249.761031,-249.761008,-249.758473,-249.762134,-249.762053,-249.767464,-249.760131,,-249.766925,-249.767073,-249.766682,missing,missing,missing,missing
foof,-348.332438,-349.356655,-349.406778,,-349.404034,-349.407087,,-349.413121,-349.404939,,-349.412543,-349.412751,-349.412486,missing,missing,missing,missing
alf3,-540.593633,-541.420593,-541.443533,,-541.443552,-541.443601,,-541.444488,-541.443296,,-541.444191,-541.444295,-541.444460,missing,missing,missing,missing
si2h6,-581.370250,-581.675569,-581.684584,,-581.684225,-581.686028,,-581.686367,-581.684246,,-581.686337,-581.686349,-581.686359,missing,missing,missing,missing
p4,-1363.046711,-1363.647413,-1363.692933,,-1363.690290,-1363.691954,,-1363.696651,-1363.689326,,-1363.696417,-1363.696493,-1363.696601,missing,missing,missing,missing
so2,-547.287030,-547.936810,-547.970410,,-547.969345,-547.970230,,-547.973308,-547.969748,,-547.972585,-547.972861,-547.973099,missing,missing,missing,missing
so3,-622.143780,-623.019731,-623.062490,,-623.061395,-623.062082,,-623.065484,-623.061638,,-623.064709,-623.065009,-623.065339,missing,missing,missing,missing
ocs,-510.339002,-510.887455,-510.918708,,-510.917759,-510.918919,,-510.921334,-510.918226,,-510.920732,-510.920969,-510.921245,missing,missing,missing,missing
cs2,-832.966568,-833.472703,-833.507501,,-833.505959,-833.507933,,-833.510999,-833.506389,,-833.510397,-833.510649,-833.510906,missing,missing,missing,missing
s2o,-869.930853,-870.534747,-870.571451,,-870.569657,-870.571746,,-870.575531,-870.570277,,-870.574748,-870.575059,-870.575209,missing,missing,missing,missing
s3,-1192.598612,-1193.153300,-1193.191769,,-1193.189189,-1193.192586,,-1193.196915,-1193.189586,,-1193.196406,-1193.196616,-1193.196526,missing,missing,missing,missing
s4-c2v,-1590.117605,-1590.876518,-1590.936243,,-1590.931770,-1590.935968,,-1590.944628,-1590.932989,,-1590.943603,-1590.944027,-1590.943614,missing,missing,missing,missing
ccl2,-956.806406,-957.358231,-957.386728,,-957.385571,-957.387990,,-957.389818,-957.385646,,-957.389412,-957.389565,-957.389720,missing,missing,missing,missing
alcl3,-1620.719237,-1621.389975,-1621.417750,,-1621.416776,-1621.419063,,-1621.420314,-1621.416181,,-1621.420229,-1621.420262,-1621.420334,missing,missing,missing,missing
clcn,-551.829829,-552.369630,-552.397946,,-552.396928,-552.397920,,-552.400259,-552.396462,,-552.400105,-552.400162,-552.400209,missing,missing,missing,missing
oclo,-609.064688,-609.744713,-609.779467,-609.779672,-609.778292,-609.779532,-609.779362,-609.782911,-609.778558,,-609.782154,-609.782448,-609.782625,missing,missing,missing,missing
cloo,-609.075878,-609.760819,-609.800530,-609.800489,-609.797278,-609.802474,-609.802411,-609.808152,-609.799068,,-609.807750,-609.807794,-609.807221,missing,missing,missing,missing
cl2o,-993.777434,-994.428709,-994.458304,,-994.457047,-994.458798,,-994.461076,-994.456433,,-994.460953,-994.460995,-994.461004,missing,missing,missing,missing
bn3pi,-79.014149,-79.253986,-79.266929,-79.267142,-79.266445,-79.268488,-79.268444,-79.269653,-79.267146,,-79.269115,-79.269360,-79.269377,-79.269342,-79.269299,-79.269377,missing
cf,-137.224831,-137.591536,-137.604553,-137.604557,-137.604434,-137.605136,-137.605098,-137.605678,-137.604659,,-137.605350,-137.605473,-137.605604,-137.605585,-137.605453,-137.605563,missing
ch2c,-76.793427,-77.100154,-77.114250,,-77.113678,-77.115053,,-77.115852,-77.113685,,-77.115738,-77.115782,-77.115811,-77.115832,-77.115820,-77.115869,missing
ch2ch,-77.419799,-77.734524,-77.748034,-77.748539,-77.747504,-77.749270,-77.749256,-77.749995,-77.747601,,-77.749924,-77.749932,-77.749943,-77.749946,error,error,missing
c2h4,-78.063271,-78.418364,-78.433128,,-78.432617,-78.433557,,-78.434283,-78.432376,,-78.434244,-78.434258,-78.434279,-78.434259,-78.434270,-78.434300,missing
ch2nh,-94.066625,-94.451534,-94.468046,,-94.467502,-94.468243,,-94.469237,-94.467192,,-94.469176,-94.469197,-94.469218,-94.469157,error,error,missing
hco,-113.292146,-113.665709,-113.682668,-113.682739,-113.682459,-113.683034,-113.683008,-113.684172,-113.682452,,-113.683856,-113.683970,-113.684075,-113.683982,-113.683993,-113.684051,missing
h2co,-113.911265,-114.314398,-114.330861,,-114.330520,-114.331033,,-114.332046,-114.330298,,-114.331882,-114.331938,-114.332004,-114.331918,-114.331937,-114.331978,missing
co2,-187.706665,-188.298624,-188.327164,,-188.326633,-188.326951,,-188.328946,-188.326974,,-188.328377,-188.328593,-188.328865,-188.328630,error,error,missing
hno,-129.836027,-130.276913,-130.296680,,-130.296044,-130.296649,,-130.298376,-130.295696,,-130.298277,-130.298307,-130.298300,-130.298170,-130.298300,-130.298316,missing
no2,-204.109509,-204.764242,-204.800220,-204.800406,-204.799253,-204.800199,-204.800079,-204.803723,-204.800087,,-204.802896,-204.803216,-204.803454,-204.803090,costly,costly,missing
n2o,-183.748836,-184.371641,-184.407144,,-184.406055,-184.406158,,-184.409886,-184.406501,,-184.409069,-184.409374,-184.409653,-184.409183,costly,costly,missing
o3,-224.341630,-225.085912,-225.132704,,-225.129817,-225.131990,,-225.139128,-225.130989,,-225.138470,-225.138690,-225.138308,-225.137566,costly,costly,missing
hoo,-150.236339,-150.693825,-150.710776,-150.710766,-150.710443,-150.711341,-150.711297,-150.712550,-150.710204,,-150.712364,-150.712399,-150.712426,-150.712333,error,error,missing
hooh,-150.835352,-151.336395,-151.354596,,-151.354080,-151.354573,,-151.355865,-151.353566,,-151.355829,-151.355841,-151.355843,-151.355717,error,error,missing
f2o,-273.557698,-274.319652,-274.349264,,-274.348274,-274.349324,,-274.351847,-274.348077,,-274.351611,-274.351705,-274.351705,-274.351477,costly,costly,missing
hocl,-534.919258,-535.374705,-535.392498,,-535.391881,-535.392877,,-535.394019,-535.391464,,-535.393971,-535.393988,-535.394000,-535.393925,error,error,missing
ssh,-795.669196,-796.029220,-796.046753,-796.046796,-796.045905,-796.048061,-796.048019,-796.049182,-796.045751,,-796.049088,-796.049114,-796.049127,-796.049131,error,error,missing
b2,-49.091737,-49.278861,-49.296011,-49.296095,-49.293719,-49.297422,-49.297409,-49.299275,-49.294410,,-49.299051,-49.299145,-49.298864,-49.299325,-49.299388,-49.299429,-49.299465
bh,-25.129903,-25.227265,-25.229276,,-25.229140,-25.229714,,-25.229781,-25.229159,,-25.229779,-25.229780,-25.229777,-25.229801,-25.229801,-25.229801,missing
bh3,-26.400001,-26.531281,-26.533722,,-26.533660,-26.534143,,-26.534182,-26.533657,,-26.534178,-26.534180,-26.534182,-26.534188,-26.534186,-26.534187,missing
bn,-78.905564,-79.234008,-79.267875,,-79.266115,-79.264715,,-79.269576,-79.266652,,-79.265471,-79.266834,-79.268231,-79.267737,-79.267490,-79.268117,missing
bf,-124.155694,-124.490904,-124.501894,,-124.501712,-124.502138,,-124.502625,-124.501817,,-124.502426,-124.502499,-124.502590,-124.502570,-124.502469,-124.502556,missing
nh,-54.980997,-55.135314,-55.139025,-55.138944,-55.138929,-55.139469,-55.139382,-55.139565,-55.138903,,-55.139562,-55.139563,-55.139563,-55.139570,-55.139571,-55.139572,-55.139573
nh2,-55.585510,-55.784726,-55.790197,-55.790171,-55.790077,-55.790611,-55.790571,-55.790802,-55.789978,,-55.790796,-55.790799,-55.790802,-55.790802,-55.790807,-55.790810,-55.790810
hcn,-92.907334,-93.255956,-93.273875,,-93.273289,-93.273718,,-93.275314,-93.272994,,-93.275232,-93.275260,-93.275268,-93.275117,-93.275245,-93.275266,missing
hof,-174.803760,-175.314447,-175.332293,,-175.331806,-175.332326,,-175.333625,-175.331376,,-175.333570,-175.333585,-175.333580,-175.333471,missing,missing,missing
alh,-242.461769,-242.542882,-242.544281,,-242.544186,-242.544659,,-242.544706,-242.544225,,-242.544705,-242.544705,-242.544703,-242.544718,-242.544718,-242.544718,-242.544718
alh3,-243.643958,-243.757398,-243.758915,,-243.758859,-243.759333,,-243.759369,-243.758894,,-243.759367,-243.759368,-243.759368,-243.759379,-243.759377,-243.759378,-243.759378
alf,-341.470349,-341.789811,-341.799147,,-341.799064,-341.799299,,-341.799692,-341.799117,,-341.799511,-341.799580,-341.799664,-341.799639,-341.799551,-341.799627,missing
alcl,-701.510641,-701.777406,-701.788261,,-701.787777,-701.788917,,-701.789480,-701.787664,,-701.789428,-701.789450,-701.789469,-701.789481,-701.789455,-701.789499,missing
sih,-289.438869,-289.541915,-289.544865,-289.544843,-289.544702,-289.545654,-289.545623,-289.545731,-289.544781,,-289.545726,-289.545728,-289.545726,-289.545744,-289.545744,-289.545744,-289.545745
sih4,-291.260158,-291.426877,-291.430529,,-291.430407,-291.431254,,-291.431346,-291.430426,,-291.431336,-291.431340,-291.431343,-291.431360,-291.431353,-291.431358,-291.431357
sio,-363.838388,-364.177054,-364.194913,,-364.194533,-364.195143,,-364.196881,-364.195430,,-364.195933,-364.196326,-364.196652,-364.196544,-364.196263,-364.196601,missing
sif,-388.415054,-388.755317,-388.766274,-388.766273,-388.766115,-388.766812,-388.766786,-388.767260,-388.766240,,-388.767050,-388.767132,-388.767219,-388.767200,-388.767104,-388.767187,missing
cs,-435.352352,-435.671399,-435.692702,,-435.691972,-435.693262,,-435.694973,-435.692172,,-435.694502,-435.694681,-435.694871,-435.694828,-435.694774,-435.694941,missing
h2,-1.132945,-1.170854,-1.170854,,-1.170854,-1.170854,,-1.170854,-1.170854,,-1.170854,-1.170854,-1.170854,-1.170854,-1.170854,-1.170854,-1.170854
