Molecule             Shell               E_HF (Eh)          E_CCSD (Eh)       E_CCSD(T) (Eh)         E_AFQMC (Eh)   E_AFQMC ERR (Eh)   norb  Runtime (s)
clf3                 Closed        -757.5091353977      -758.2612457072      -758.2800536539           -758.28214            0.00042     52       319.53
clf5                 Closed        -956.1548503350      -957.3235390654      -957.3551963637           -957.35824            0.00051     78       917.25
clno                 Closed        -588.7187149192      -589.2216865458      -589.2429018403           -589.24630            0.00044     39       183.36
clo                  Open          -534.2557602772      -534.5654601474      -534.5729247236           -534.57387            0.00011     26       107.05
clo3                 Open          -683.6742990014      -684.3885816412      -684.4160044033           -684.41745            0.00040     52       311.04
cloo                 Open          -609.0640824321      -609.5589732457      -609.5749075406           -609.58398            0.00033     39       182.77
cloocl               Closed       -1068.4782780137     -1069.1643460531     -1069.1863125332          -1069.18863            0.00051     52       354.72
cn                   Open           -92.2128915310       -92.4766805251       -92.4890729401            -92.49107            0.00039     26       100.32
co                   Closed        -112.7489702114      -113.0438574180      -113.0545921004           -113.05487            0.00032     26       103.59
co2                  Closed        -187.6506108495      -188.1296264862      -188.1476922935           -188.14899            0.00031     39       177.99
cs                   Closed        -435.3294950590      -435.5903110167      -435.6046735493           -435.60417            0.00031     26       104.91
cs2                  Closed        -832.9259277383      -833.3306292055      -833.3532883207           -833.35338            0.00047     39       175.61
cyclobutadiene       Closed        -153.6698298922      -154.1741740957      -154.1952925551           -154.20336            0.00026     60       359.27
cyclobutane          Closed        -156.0821084262      -156.6470707012      -156.6633984815           -156.66498            0.00015     68       552.61
cyclobutene          Closed        -154.8924836050      -155.4385597367      -155.4575695850           -155.45956            0.00033     64       448.03
cyclopentadiene      Closed        -192.7914823338      -193.4560870213      -193.4824393658           -193.48605            0.00024     77       803.09
cyclopropane         Closed        -117.0467519826      -117.4682201020      -117.4800267943           -117.48091            0.00012     51       281.57
cyclopropene         Closed        -115.8187786626      -116.2239052818      -116.2386898612           -116.23965            0.00023     47       241.15
cyclopropyl          Open          -116.4073953087      -116.8024108525      -116.8138583059           -116.81505            0.00010     49       263.44
dioxetan2one         Closed        -301.4890591274      -302.2915585699      -302.3177586302           -302.32031            0.00037     69       594.92
dioxetane            Closed        -227.7323068535      -228.3680603004      -228.3851850029           -228.38717            0.00020     60       426.97
dioxirane            Closed        -188.6107807856      -189.1229715244      -189.1395820379           -189.14119            0.00024     43       202.29
dithiotane           Closed        -873.0829429074      -873.6406308785      -873.6591606610           -873.66105            0.00021     60       428.96
ethanol              Closed        -154.0652253738      -154.5412694695      -154.5513573007           -154.55259            0.00013     51       283.94
f2                   Closed        -198.6958686951      -199.0872431881      -199.0964392005           -199.09895            0.00020     26       127.18
f2co                 Closed        -311.6339238439      -312.3140306552      -312.3310491990           -312.33262            0.00036     52       313.47
f2o                  Closed        -273.4638146541      -274.0553511225      -274.0712749975           -274.07292            0.00031     39       185.96
fccf                 Closed        -274.4764742831      -275.1028884100      -275.1209754475           -275.12285            0.00033     52       295.01
fno                  Closed        -228.6329935201      -229.1834442005      -229.2036963138           -229.20416            0.00053     39       188.64
fo2                  Open          -248.9558160857      -249.4916101301      -249.5103566857           -249.51995            0.00047     39       183.97
foof                 Closed        -348.2590180438      -349.0198242708      -349.0489633102           -349.05986            0.00039     52       312.32
formamide            Closed        -168.9310156335      -169.4135054701      -169.4275040914           -169.42894            0.00035     45       212.99
formic               Closed        -188.7668336599      -189.2656573996      -189.2797401000           -189.28134            0.00024     43       201.17
formic-anhydride     Closed        -301.4980793676      -302.2998055739      -302.3266102833           -302.32910            0.00053     69       594.68
furan                Closed        -228.6287674709      -229.3391327774      -229.3669243682           -229.36942            0.00046     73       641.25
glyoxal              Closed        -226.6030937374      -227.2237357502      -227.2446017707           -227.24623            0.00037     56       326.09
h2                   Closed          -1.1245833245        -1.1480520483        -1.1480520483             -1.14805            0.00000      4        66.65
h2ccn                Open          -131.3106943761      -131.7056814004      -131.7205367964           -131.72224            0.00026     43       192.30
h2cn                 Open           -93.4338156910       -93.7045998470       -93.7131571145            -93.71480            0.00013     30       112.06
h2co                 Closed        -113.8692106084      -114.1876064136      -114.1968858489           -114.19741            0.00018     30       114.54
h2no                 Open          -130.3919956208      -130.7324495700      -130.7397255351           -130.74050            0.00011     30       125.10
h2o                  Closed         -76.0031565137       -76.2013574148       -76.2031168323            -76.20376            0.00007     17        96.45
h2s                  Closed        -398.6847738882      -398.8347812921      -398.8372802323           -398.83782            0.00003     17        89.65
hccf                 Closed        -175.6517807233      -176.0966703995      -176.1110552130           -176.11215            0.00034     41       185.54
hcl                  Closed        -460.0815513947      -460.2362491568      -460.2380738391           -460.23856            0.00003     15        86.24
hclo4                Closed        -759.0681943307      -759.9763755318      -760.0061523177           -760.00899            0.00043     67       574.16
hcn                  Closed         -92.8786012481       -93.1675133732       -93.1791620954            -93.17937            0.00024     28       107.03
hcnh                 Open           -93.4000896488       -93.6843776668       -93.6941925495            -93.69497            0.00030     30       112.17
hcno                 Closed        -167.6374461417      -168.1243156815      -168.1464158203           -168.14785            0.00055     41       185.64
hco                  Open          -113.2552179792      -113.5557545666      -113.5659003570           -113.56627            0.00030     28       106.25
hcof                 Closed        -212.7586381612      -213.2589317061      -213.2724782451           -213.27330            0.00022     41       191.46
hf                   Closed        -100.0020000128      -100.2022809405      -100.2035300534           -100.20402            0.00005     15        82.00
hnc                  Closed         -92.8586628584       -93.1403625281       -93.1513768192            -93.15157            0.00020     28       107.19
hnco                 Closed        -167.7709029634      -168.2359312361      -168.2542361492           -168.25511            0.00036     41       184.45
hnnn                 Closed        -163.8483281419      -164.3441351624      -164.3671548410           -164.36846            0.00064     41       185.47
hno                  Closed        -129.7978372774      -130.1468006769      -130.1576153707           -130.15985            0.00019     28       108.59
hocl                 Closed        -534.8615521222      -535.2027472040      -535.2098237771           -535.21073            0.00016     28       121.76
hoclo                Closed        -609.5655019536      -610.1038142138      -610.1207088084           -610.12222            0.00029     41       192.27
hoclo2               Closed        -684.3120804128      -685.0416180164      -685.0666245885           -685.06951            0.00054     54       333.53
hocn                 Closed        -167.7270380622      -168.1950621468      -168.2112787070           -168.21257            0.00029     41       185.93
hof                  Closed        -174.7331463444      -175.1254009264      -175.1336110100           -175.13465            0.00019     28       111.59
honc                 Closed        -167.6330859681      -168.1028235536      -168.1195340535           -168.12017            0.00031     41       185.73
hoo                  Open          -150.1765095578      -150.5330381032      -150.5410098643           -150.54205            0.00018     28       109.41
hooh                 Closed        -150.7621812676      -151.1498840792      -151.1576796522           -151.15868            0.00019     30       129.45
hs                   Open          -398.0839634106      -398.2090679003      -398.2108867046           -398.21136            0.00002     15        79.17
ketene               Closed        -151.7319381154      -152.1719959057      -152.1883035636           -152.18964            0.00035     43       193.26
methanol             Closed        -115.0281958477      -115.3630905314      -115.3691522973           -115.37018            0.00013     34       152.13
n-butane             Closed        -157.2791080737      -157.8592635885      -157.8738302920           -157.87560            0.00018     72       603.33
n-pentane            Closed        -196.3107963531      -197.0326922837      -197.0514538342           -197.05332            0.00017     89      1087.98
n2                   Closed        -108.9537505521      -109.2635991674      -109.2755415384           -109.27597            0.00030     26       113.03
n2h                  Open          -109.4320528991      -109.7398962004      -109.7503266110           -109.75124            0.00016     28       107.49
n2h4                 Closed        -111.1622935508      -111.5111144587      -111.5177869758           -111.51897            0.00016     34       152.77
n2o                  Closed        -183.6953963633      -184.2089310872      -184.2330968908           -184.23351            0.00059     39       175.77
n2o4                 Closed        -408.0754218395      -409.1713239746      -409.2229717517           -409.22885            0.00079     78       858.23
nccn                 Closed        -184.6059817005      -185.1625808580      -185.1894391018           -185.19287            0.00058     52       286.45
nh                   Open           -54.9610395044       -55.0779212046       -55.0790658256            -55.07945            0.00002     15       116.52
nh2                  Open           -55.5547214139       -55.7046159053       -55.7063525295            -55.70682            0.00004     17       122.10
nh2cl                Closed        -515.0599140401      -515.3838442113      -515.3908212565           -515.39186            0.00013     30       129.35
nh2f                 Closed        -154.9586622264      -155.3266791378      -155.3335468879           -155.33463            0.00016     30       120.14
nh2oh                Closed        -130.9742129106      -131.3409371093      -131.3478893489           -131.34928            0.00019     32       135.12
nh3                  Closed         -56.1760976909       -56.3591349097       -56.3614488385            -56.36208            0.00008     19        90.65
no                   Open          -129.2601321608      -129.5869060876      -129.5980134285           -129.59824            0.00024     26       103.36
no2                  Open          -204.0478297227      -204.5801742519      -204.6037063439           -204.60367            0.00038     39       178.35
o2                   Open          -149.6277044870      -149.9760198794      -149.9857369885           -149.98590            0.00019     26       103.61
o3                   Closed        -224.3535559823      -224.8798715413      -224.9008449259           -224.91286            0.00032     39       242.44
oclo                 Open          -608.9589094932      -609.4853253347      -609.5048666662           -609.50680            0.00042     39       182.68
ocs                  Closed        -510.2906138039      -510.7317793529      -510.7518238113           -510.75233            0.00039     39       182.62
of                   Open          -174.1346117575      -174.4899524533      -174.4980045315           -174.49881            0.00027     26       106.01
oh                   Open           -75.3825136572       -75.5400694086       -75.5412616243            -75.54164            0.00003     15        76.31
oxadiazole           Closed        -260.5607650932      -261.3346233486      -261.3692697118           -261.37336            0.00049     69       582.79
oxetane              Closed        -191.9020811694      -192.5027738516      -192.5195030543           -192.52135            0.00019     64       473.07
oxirane              Closed        -152.8631970280      -153.3250452070      -153.3380953710           -153.33985            0.00021     47       249.39
oxirene              Closed        -151.5875484673      -152.0367448540      -152.0536303372           -152.05582            0.00029     43       193.46
p2                   Closed        -681.4740527728      -681.7088495554      -681.7221623016           -681.72557            0.00022     26       113.83
p4                   Closed       -1362.9884655041     -1363.4706954838     -1363.4991078124          -1363.50161            0.00032     52       329.61
pf3                  Closed        -639.1379505003      -639.8178774769      -639.8304469130           -639.83232            0.00025     52       313.70
pf5                  Closed        -838.0479315539      -839.1080437955      -839.1257250475           -839.12835            0.00029     78       897.78
ph3                  Closed        -342.4626189300      -342.5990015981      -342.6018634601           -342.60245            0.00004     19        91.67
propane              Closed        -118.2474165618      -118.6858575191      -118.6962484316           -118.69739            0.00013     55       315.12
propene              Closed        -117.0622262998      -117.4816590020      -117.4942904476           -117.49527            0.00016     51       281.11
propyne              Closed        -115.8605212169      -116.2617414066      -116.2762765387           -116.27670            0.00018     47       212.47
pyrrole              Closed        -208.8073400507      -209.5031303622      -209.5305751324           -209.53315            0.00027     75       676.69
s2                   Open          -795.0606808053      -795.3206973797      -795.3303758755           -795.33090            0.00014     26       113.61
s2o                  Closed        -869.8608424501      -870.3197645577      -870.3408635584           -870.34638            0.00040     39       210.89
s3                   Closed       -1192.5674798372     -1192.9686520496     -1192.9877048990          -1192.99549            0.00024     39       205.24
s4-c2v               Closed       -1590.0972311920     -1590.6404749876     -1590.6652140412          -1590.67630            0.00041     52       348.20
sf6                  Closed        -994.0059786891      -995.2988720072      -995.3231836679           -995.32662            0.00047     91      1462.86
si2h6                Closed        -581.3263605399      -581.5368172573      -581.5421869553           -581.54354            0.00005     38       170.92
sif                  Open          -388.3587178029      -388.6222618703      -388.6274530520           -388.62791            0.00014     26       103.92
sif4                 Closed        -686.9340376999      -687.7727384437      -687.7852046336           -687.78772            0.00025     65       542.40
sih                  Open          -289.4273478313      -289.5071430064      -289.5086855597           -289.50917            0.00004     15        74.33
sih3f                Closed        -390.1544836754      -390.4426527621      -390.4471799918           -390.44816            0.00009     32       135.45
sih4                 Closed        -291.2345156891      -291.3441728420      -291.3463113501           -291.34695            0.00002     21        94.34
silole               Closed        -443.8523555840      -444.4717844421      -444.4973985735           -444.50157            0.00028     77       803.60
sio                  Closed        -363.7897744128      -364.0690899027      -364.0808352666           -364.07996            0.00040     26       104.44
so                   Open          -472.3481065022      -472.6521143664      -472.6616998377           -472.66205            0.00018     26       104.02
so2                  Closed        -547.1797707822      -547.6942230500      -547.7142929114           -547.71638            0.00031     39       181.79
so3                  Closed        -621.9922219364      -622.6849409560      -622.7099720306           -622.71280            0.00042     52       305.78
ssh                  Open          -795.6283523531      -795.8959713252      -795.9037320702           -795.90513            0.00012     28       121.27
t-butadiene          Closed        -154.9173370879      -155.4537288095      -155.4736109112           -155.47727            0.00032     64       446.20
t-hcoh               Closed        -113.7878306073      -114.0988022565      -114.1067573634           -114.10827            0.00018     30       113.52
t-hono               Closed        -204.6459763354      -205.1906646802      -205.2094925835           -205.21188            0.00034     41       217.42
t-hooo               Open          -224.9500349406      -225.5006689458      -225.5197567573           -225.52609            0.00037     41       192.77
t-n2h2               Closed        -109.9976103734      -110.3313931570      -110.3418393019           -110.34316            0.00023     30       121.52
tetrahedrane         Closed        -153.5954952370      -154.1295613094      -154.1498166343           -154.15087            0.00023     60       358.05
thiophene            Closed        -551.3069865450      -551.9759208435      -552.0049950429           -552.00807            0.00045     73       726.49
trans-c2f2cl2        Closed       -1193.5656146539     -1194.4942467229     -1194.5201727432          -1194.52261            0.00030     78       874.62
