Molecule                        E_HF (Eh)          E_CCSD (Eh)    E_UHF-UCCSD(T) (Eh)    E_UHF-UCCSDT (Eh)      E_CCSDT(Q) (Eh)
ch2c                       -76.7655630000       -77.0150610000         -77.0238390000       -77.0247670000       -77.0253750000
ch2ch                      -77.3877300000       -77.6362830000         -77.6441640000       -77.6454690000       -77.6460280000
ch2clf                    -597.9610050000      -598.4360740000        -598.4458490000      -598.4464240000      -598.4473500000
ch2f2                     -237.9042110000      -238.4186320000        -238.4276680000      -238.4281490000      -238.4291340000
ch2nh                      -94.0259650000       -94.3311040000         -94.3404700000       -94.3409270000       -94.3418000000
ch2nh2                     -94.5797920000       -94.8788040000         -94.8850510000       -94.8855870000       -94.8861790000
ch3                        -39.5532430000       -39.6826950000         -39.6844570000       -39.6848010000       -39.6849230000
ch3f                      -139.0345810000      -139.3689140000        -139.3744300000      -139.3748600000      -139.3754180000
ch3nh                      -94.5863370000       -94.8762600000         -94.8822150000       -94.8828560000       -94.8833050000
ch3nh2                     -95.1996560000       -95.5209350000         -95.5273000000       -95.5277720000       -95.5283630000
ch3ph2                    -381.4937800000      -381.7717560000        -381.7785070000      -381.7793340000      -381.7797430000
ch4                        -40.1852150000       -40.3422910000         -40.3447560000       -40.3451090000       -40.3452510000
chf3                      -336.7860820000      -337.4822050000        -337.4950250000      -337.4955080000      -337.4969230000
cis-c2f2cl2              -1193.5626630000     -1194.4916280000       -1194.5175640000     -1194.5183530000     -1194.5208760000
cl2                       -918.9609350000      -919.2569520000        -919.2632420000      -919.2636830000      -919.2643890000
cl2o                      -993.7134270000      -994.2026310000        -994.2163020000      -994.2167370000      -994.2186450000
clcn                      -551.7885670000      -552.2199560000        -552.2367020000      -552.2369150000      -552.2389270000
clcof                     -671.6816530000      -672.3250060000        -672.3435660000      -672.3440880000      -672.3460120000
clf                       -558.8442450000      -559.1867640000        -559.1933720000      -559.1937260000      -559.1946820000
clf3                      -757.5091350000      -758.2612460000        -758.2800540000      -758.2808200000      -758.2836250000
clf5                      -956.1548500000      -957.3235390000        -957.3551960000      -957.3560700000      -957.3605890000
clno                      -588.7147520000      -589.2229050000        -589.2445100000      -589.2457000000      -589.2487880000
clo                       -534.2557600000      -534.5654600000        -534.5729250000      -534.5737580000      -534.5746970000
clo3                      -683.6742990000      -684.3885820000        -684.4160040000      -684.4163710000      -684.4205250000
cloo                      -609.0149830000      -609.5546630000        -609.5791230000      -609.5816470000      -609.5865240000
cloocl                   -1068.4782780000     -1069.1643460000       -1069.1863130000     -1069.1868560000     -1069.1901430000
cn                         -92.2128920000       -92.4766800000         -92.4890730000       -92.4916060000       -92.4936300000
co                        -112.7489700000      -113.0438570000        -113.0545920000      -113.0550510000      -113.0561510000
co2                       -187.6506110000      -188.1296260000        -188.1476920000      -188.1479370000      -188.1500270000
cs                        -435.3294950000      -435.5903110000        -435.6046740000      -435.6054210000      -435.6064840000
cs2                       -832.9259280000      -833.3306290000        -833.3532880000      -833.3539800000      -833.3560440000
cyclobutadiene            -153.6413470000      -154.1779980000        -154.2013130000      -154.2023400000      -154.2044770000
cyclobutane               -156.0821080000      -156.6470710000        -156.6633980000      -156.6641870000      -156.6652770000
cyclobutene               -154.8924840000      -155.4385600000        -155.4575700000      -155.4582470000      -155.4596890000
cyclopentadiene           -192.7882690000      -193.4576400000        -193.4839250000      -193.4846130000      -193.4867200000
cyclopropane              -117.0467520000      -117.4682200000        -117.4800270000      -117.4806180000      -117.4814500000
cyclopropene              -115.8187790000      -116.2239050000        -116.2386900000      -116.2391670000      -116.2403860000
cyclopropyl               -116.4073950000      -116.8024110000        -116.8138580000      -116.8146250000      -116.8154160000
dioxetan2one              -301.4890590000      -302.2915590000        -302.3177590000      -302.3181480000      -302.3209050000
dioxetane                 -227.7323070000      -228.3680600000        -228.3851850000      -228.3857230000      -228.3874110000
dioxirane                 -188.6090780000      -189.1233760000        -189.1401700000      -189.1403660000      -189.1427730000
dithiotane                -873.0829430000      -873.6406310000        -873.6591610000      -873.6599460000      -873.6614910000
ethanol                   -154.0652250000      -154.5412690000        -154.5513570000      -154.5519840000      -154.5529580000
f2                        -198.6855770000      -199.0884790000        -199.0975240000      -199.0977940000      -199.0994950000
f2co                      -311.6339240000      -312.3140310000        -312.3310490000      -312.3314550000      -312.3333760000
f2o                       -273.4635160000      -274.0556780000        -274.0716240000      -274.0721850000      -274.0748340000
fccf                      -274.4764740000      -275.1028880000        -275.1209750000      -275.1214740000      -275.1235120000
fno                       -228.6329940000      -229.1834440000        -229.2036960000      -229.2045460000      -229.2074560000
fo2                       -248.9013370000      -249.4907540000        -249.5157970000      -249.5175820000      -249.5226180000
foof                      -348.2166270000      -349.0254080000        -349.0561760000      -349.0572890000      -349.0631370000
formamide                 -168.9310160000      -169.4135050000        -169.4275040000      -169.4281010000      -169.4295860000
formic                    -188.7668340000      -189.2656570000        -189.2797400000      -189.2802090000      -189.2818810000
formic-anhydride          -301.4980790000      -302.2998060000        -302.3266100000      -302.3273330000      -302.3301770000
furan                     -228.6287320000      -229.3392950000        -229.3670530000      -229.3673600000      -229.3699300000
glyoxal                   -226.6025820000      -227.2241330000        -227.2451330000      -227.2459060000      -227.2482040000
h2                          -1.1245830000        -1.1480520000          -1.1480520000        -1.1480520000        -1.1480520000
h2ccn                     -131.3106940000      -131.7056810000        -131.7205370000      -131.7216520000      -131.7232860000
h2cn                       -93.4338160000       -93.7046000000         -93.7131570000       -93.7143970000       -93.7151290000
h2co                      -113.8692110000      -114.1876060000        -114.1968860000      -114.1973510000      -114.1983620000
h2no                      -130.3919960000      -130.7324500000        -130.7397260000      -130.7401340000      -130.7411600000
h2o                        -76.0031570000       -76.2013570000         -76.2031170000       -76.2032460000       -76.2037930000
h2s                       -398.6847740000      -398.8347810000        -398.8372800000      -398.8376710000      -398.8378750000
hccf                      -175.6517810000      -176.0966700000        -176.1110550000      -176.1114930000      -176.1130130000
hcl                       -460.0815510000      -460.2362490000        -460.2380740000      -460.2382870000      -460.2385260000
hclo4                     -759.0681940000      -759.9763760000        -760.0061520000      -760.0061620000      -760.0101200000
hcn                        -92.8786010000       -93.1675130000         -93.1791620000       -93.1793570000       -93.1807910000
hcnh                       -93.4000900000       -93.6843780000         -93.6941930000       -93.6951740000       -93.6961560000
hcno                      -167.6385380000      -168.1243970000        -168.1462500000      -168.1462070000      -168.1492370000
hco                       -113.2552180000      -113.5557550000        -113.5659000000      -113.5665890000      -113.5676890000
hcof                      -212.7586380000      -213.2589320000        -213.2724780000      -213.2729690000      -213.2744790000
hf                        -100.0020000000      -100.2022810000        -100.2035300000      -100.2036000000      -100.2040460000
hnc                        -92.8586630000       -93.1403630000         -93.1513770000       -93.1518640000       -93.1528370000
hnco                      -167.7709030000      -168.2359310000        -168.2542360000      -168.2546600000      -168.2566300000
hnnn                      -163.8483280000      -164.3441350000        -164.3671550000      -164.3671060000      -164.3704160000
hno                       -129.7926720000      -130.1474810000        -130.1588950000      -130.1592100000      -130.1608600000
hocl                      -534.8615520000      -535.2027470000        -535.2098240000      -535.2101640000      -535.2112560000
hoclo                     -609.5655020000      -610.1038140000        -610.1207090000      -610.1213270000      -610.1240330000
hoclo2                    -684.3120800000      -685.0416180000        -685.0666250000      -685.0669950000      -685.0707210000
hocn                      -167.7270380000      -168.1950620000        -168.2112790000      -168.2114760000      -168.2135820000
hof                       -174.7331340000      -175.1254380000        -175.1336640000      -175.1339510000      -175.1353820000
honc                      -167.6330860000      -168.1028240000        -168.1195340000      -168.1199740000      -168.1219110000
hoo                       -150.1765100000      -150.5330380000        -150.5410100000      -150.5417130000      -150.5430150000
hooh                      -150.7621810000      -151.1498840000        -151.1576800000      -151.1579390000      -151.1593920000
hs                        -398.0839630000      -398.2090680000        -398.2108870000      -398.2112620000      -398.2114030000
ketene                    -151.7319380000      -152.1719960000        -152.1883040000      -152.1890110000      -152.1905880000
methanol                  -115.0281960000      -115.3630900000        -115.3691520000      -115.3695660000      -115.3702950000
n-butane                  -157.2791080000      -157.8592640000        -157.8738300000      -157.8748070000      -157.8756960000
n-pentane                 -196.3107960000      -197.0326920000        -197.0514540000      -197.0526160000      -197.0537670000
n2                        -108.9537510000      -109.2635990000        -109.2755420000      -109.2756130000      -109.2773160000
n2h                       -109.4320530000      -109.7398960000        -109.7503270000      -109.7512370000      -109.7524810000
n2h4                      -111.1622940000      -111.5111140000        -111.5177870000      -111.5181520000      -111.5189950000
n2o                       -183.6953960000      -184.2089310000        -184.2330970000      -184.2326940000      -184.2363350000
n2o4                      -408.0663140000      -409.1734080000        -409.2274930000      -409.2272360000      -409.2342750000
nccn                      -184.6027860000      -185.1641520000        -185.1911740000      -185.1911590000      -185.1947110000
nh                         -54.9610400000       -55.0779210000         -55.0790660000       -55.0793040000       -55.0794190000
nh2                        -55.5547210000       -55.7046160000         -55.7063530000       -55.7066300000       -55.7068680000
nh2cl                     -515.0599140000      -515.3838440000        -515.3908210000      -515.3912340000      -515.3920460000
nh2f                      -154.9586620000      -155.3266790000        -155.3335470000      -155.3339280000      -155.3348570000
nh2oh                     -130.9742130000      -131.3409370000        -131.3478890000      -131.3482140000      -131.3492860000
nh3                        -56.1760980000       -56.3591350000         -56.3614490000       -56.3616800000       -56.3620510000
no                        -129.2601320000      -129.5869060000        -129.5980130000      -129.5986410000      -129.6001400000
no2                       -204.0477890000      -204.5803010000        -204.6041070000      -204.6046850000      -204.6081260000
o2                        -149.6277040000      -149.9760200000        -149.9857370000      -149.9859280000      -149.9878520000
o3                        -224.2667370000      -224.8764850000        -224.9092860000      -224.9094080000      -224.9161970000
oclo                      -608.9572540000      -609.4856570000        -609.5055510000      -609.5060120000      -609.5092940000
ocs                       -510.2906140000      -510.7317790000        -510.7518240000      -510.7523450000      -510.7543880000
of                        -174.1346120000      -174.4899520000        -174.4980050000      -174.4991390000      -174.5003530000
oh                         -75.3825140000       -75.5400690000         -75.5412620000       -75.5414140000       -75.5416840000
oxadiazole                -260.5571540000      -261.3362370000        -261.3705840000      -261.3703430000      -261.3744660000
oxetane                   -191.9020810000      -192.5027740000        -192.5195030000      -192.5202170000      -192.5216210000
oxirane                   -152.8631970000      -153.3250450000        -153.3380950000      -153.3385700000      -153.3398300000
oxirene                   -151.5849160000      -152.0375220000        -152.0546350000      -152.0550980000      -152.0570040000
p2                        -681.4653580000      -681.7102020000        -681.7244350000      -681.7248710000      -681.7266810000
p4                       -1362.9884660000     -1363.4706960000       -1363.4991080000     -1363.4989590000     -1363.5020900000
pf3                       -639.1379510000      -639.8178770000        -639.8304470000      -639.8309610000      -639.8326490000
pf5                       -838.0479320000      -839.1080440000        -839.1257250000      -839.1261690000      -839.1286570000
ph3                       -342.4626190000      -342.5990020000        -342.6018630000      -342.6024540000      -342.6025730000
propane                   -118.2474170000      -118.6858580000        -118.6962490000      -118.6970380000      -118.6976690000
propene                   -117.0622260000      -117.4816590000        -117.4942900000      -117.4950820000      -117.4959480000
propyne                   -115.8605210000      -116.2617410000        -116.2762770000      -116.2768250000      -116.2780960000
pyrrole                   -208.8073400000      -209.5031300000        -209.5305750000      -209.5308330000      -209.5332480000
s2                        -795.0606810000      -795.3206970000        -795.3303760000      -795.3311220000      -795.3321200000
s2o                       -869.8469020000      -870.3220000000        -870.3445680000      -870.3452310000      -870.3484650000
s3                       -1192.5393590000     -1192.9699660000       -1192.9932210000     -1192.9942900000     -1192.9973920000
s4-c2v                   -1590.0407760000     -1590.6325720000       -1590.6708160000     -1590.6714980000     -1590.6779760000
sf6                       -994.0059790000      -995.2988720000        -995.3231840000      -995.3235930000      -995.3268400000
si2h6                     -581.3263610000      -581.5368170000        -581.5421870000      -581.5434690000      -581.5436590000
sif                       -388.3587180000      -388.6222620000        -388.6274530000      -388.6279830000      -388.6285680000
sif4                      -686.9340380000      -687.7727380000        -687.7852040000      -687.7855930000      -687.7875600000
sih                       -289.4273480000      -289.5071430000        -289.5086860000      -289.5092440000      -289.5092820000
sih3f                     -390.1544840000      -390.4426530000        -390.4471800000      -390.4477320000      -390.4482540000
sih4                      -291.2345160000      -291.3441730000        -291.3463110000      -291.3469650000      -291.3470180000
silole                    -443.8473110000      -444.4736640000        -444.4993440000      -444.5004310000      -444.5025150000
sio                       -363.7897740000      -364.0690900000        -364.0808350000      -364.0814730000      -364.0832070000
so                        -472.3481070000      -472.6521140000        -472.6617000000      -472.6622340000      -472.6636810000
so2                       -547.1790500000      -547.6947560000        -547.7151680000      -547.7154690000      -547.7185930000
so3                       -621.9922220000      -622.6849410000        -622.7099720000      -622.7101740000      -622.7138580000
ssh                       -795.6283520000      -795.8959710000        -795.9037320000      -795.9046520000      -795.9053470000
t-butadiene               -154.9137160000      -155.4555650000        -155.4752840000      -155.4762960000      -155.4777570000
t-hcoh                    -113.7863320000      -114.0991440000        -114.1071620000      -114.1078150000      -114.1086740000
t-hono                    -204.6455330000      -205.1908090000        -205.2098660000      -205.2105420000      -205.2133320000
t-hooo                    -224.9313480000      -225.5017450000        -225.5221510000      -225.5237990000      -225.5278460000
t-n2h2                    -109.9956610000      -110.3317950000        -110.3424890000      -110.3427800000      -110.3440530000
tetrahedrane              -153.5954950000      -154.1295610000        -154.1498170000      -154.1499540000      -154.1516570000
thiophene                 -551.3066250000      -551.9764450000        -552.0054390000      -552.0057780000      -552.0083270000
trans-c2f2cl2            -1193.5655950000     -1194.4943330000       -1194.5202500000     -1194.5210270000     -1194.5235410000

# RMSD from CCSDT(Q) [mEh]
# Method                   RMSD (mEh)    Uncertainty
# ----------------------------------------------------
# AFQMC                        1.3729         0.0302
# UHF-UCCSD(T)                 2.6223
# UHF-UCCSDT                   2.1266
