molecule,formula,2S,shell,AE_AFQMC_kcal,AE_AFQMC_err_kcal,AE_UHF-CCSD(T)_kcal,AE_UHF-CCSDT_kcal,AE_CCSDT(Q)_kcal,delta_AFQMC_kcal,delta_UHF-CCSD(T)_kcal,delta_UHF-CCSDT_kcal
ch3nh2,CH5N,0,closed,497.160069,0.055153,497.006956,497.027037,497.363382,-0.203313,-0.356425,-0.336345
ch3ph2,CH5P,0,closed,458.565726,0.058802,458.338567,458.491680,458.686835,-0.121109,-0.348268,-0.195155
ch4,CH4,0,closed,368.567062,0.040283,368.515606,368.541962,368.617263,-0.050201,-0.101657,-0.075301
chf3,CF3H,0,closed,410.132662,0.168973,409.542803,409.507663,410.174705,-0.042043,-0.631902,-0.667043
cis-c2f2cl2,C2Cl2F2,0,closed,467.192099,0.287081,466.789238,466.556432,467.793253,-0.601154,-1.004015,-1.236821
cl2,Cl2,0,closed,41.405585,0.061803,41.074260,41.108773,41.371072,0.034513,-0.296812,-0.262299
cl2o,Cl2O,0,closed,68.512739,0.147646,68.126194,68.086660,69.059928,-0.547188,-0.933734,-0.973267
clcn,CClN,0,closed,250.329217,0.182325,250.332354,250.068801,251.206475,-0.877258,-0.874121,-1.137675
clcof,CClFO,0,closed,343.759103,0.181137,343.104610,342.997934,343.988771,-0.229668,-0.884161,-0.990837
clf,ClF,0,closed,42.354379,0.092542,41.983521,42.036860,42.477371,-0.122992,-0.493850,-0.440512
clf3,ClF3,0,closed,62.515004,0.267991,61.771405,61.987896,63.450620,-0.935617,-1.679215,-1.462725
clf5,ClF5,0,closed,75.390871,0.332017,74.317830,74.506710,76.906934,-1.516063,-2.589104,-2.400224
clno,ClNO,0,closed,162.115818,0.276745,161.373474,161.847871,163.631253,-1.515435,-2.257779,-1.783382
clo,ClO,1,open,40.537112,0.071271,40.212062,40.543387,40.998959,-0.461847,-0.786897,-0.455572
clo3,ClO3,1,open,55.183183,0.254122,54.757104,54.655448,57.041866,-1.858683,-2.284762,-2.386419
cloo,ClO2,1,open,103.281784,0.208971,100.608594,101.930756,104.814162,-1.532378,-4.205568,-2.883406
cloocl,Cl2O2,0,closed,106.730576,0.320745,105.815040,105.772997,107.568302,-0.837725,-1.753261,-1.795305
cn,CN,1,open,157.931584,0.245131,156.999105,158.312483,159.548049,-1.616464,-2.548943,-1.235566
co,CO,0,closed,240.989366,0.204086,241.129928,241.152518,241.785675,-0.796310,-0.655747,-0.633157
co2,CO2,0,closed,356.448599,0.195921,356.058288,355.876310,357.087404,-0.638805,-1.029116,-1.211093
cs,CS,0,closed,152.237563,0.196586,152.951669,153.063366,153.653225,-1.415661,-0.701556,-0.589859
cs2,CS2,0,closed,245.339262,0.297511,245.861349,245.776636,246.931253,-1.591992,-1.069904,-1.154617
cyclobutadiene,C4H4,0,closed,730.042012,0.170101,729.600873,729.464703,730.750470,-0.708458,-1.149597,-1.285767
cyclobutane,C4H8,0,closed,1021.520790,0.106123,1021.375836,1021.090319,1021.719083,-0.198293,-0.343248,-0.628764
cyclobutene,C4H6,0,closed,891.717318,0.215516,891.310692,890.954894,891.804542,-0.087224,-0.493850,-0.849648
cyclopentadiene,C5H6,0,closed,1058.495531,0.163152,1058.214407,1057.670356,1058.923493,-0.427961,-0.709086,-1.253136
cyclopropane,C3H6,0,closed,754.956648,0.081952,755.036969,754.822361,755.303033,-0.346385,-0.266064,-0.480672
cyclopropene,C3H4,0,closed,602.661354,0.146730,602.689592,602.403448,603.126966,-0.465612,-0.437374,-0.723518
cyclopropyl,C3H5,1,open,650.426120,0.073180,650.311286,650.207119,650.662064,-0.235944,-0.350778,-0.454944
dioxetan2one,C2H2O3,0,closed,671.414429,0.234084,670.555996,670.198944,671.771482,-0.357053,-1.215486,-1.572539
dioxetane,C2H4O2,0,closed,657.871520,0.128615,657.265346,657.072073,658.017102,-0.145582,-0.751756,-0.945029
dioxirane,CH2O2,0,closed,352.458266,0.155046,352.244286,352.031560,353.441574,-0.983307,-1.197288,-1.410014
dithiotane,C2H4S2,0,closed,590.367188,0.134052,589.977505,589.755994,590.571129,-0.203941,-0.593624,-0.815135
ethanol,C2H6O,0,closed,706.179082,0.084490,705.938746,705.871602,706.411888,-0.232806,-0.473142,-0.540286
f2,F2,0,closed,27.214458,0.129226,26.591341,26.665388,27.594729,-0.380271,-1.003388,-0.929342
f2co,CF2O,0,closed,380.400008,0.228472,380.003422,379.897373,380.907663,-0.507655,-0.904241,-1.010290
f2o,F2O,0,closed,67.280311,0.200380,66.846074,67.032445,68.513367,-1.233056,-1.667293,-1.480922
fccf,C2F2,0,closed,342.524164,0.210126,342.038472,341.865906,342.979108,-0.454944,-0.940637,-1.113202
fno,FNO,0,closed,180.454782,0.334660,180.515650,180.850113,182.543134,-2.088352,-2.027483,-1.693021
fo2,FO2,1,open,107.881429,0.296594,105.624277,106.556129,109.560644,-1.679215,-3.936367,-3.004515
foof,F2O2,0,closed,115.488099,0.248877,113.659536,114.122011,117.567038,-2.078939,-3.907501,-3.445027
formamide,CH3NO,0,closed,490.455130,0.222309,489.985125,490.013363,490.867404,-0.412274,-0.882278,-0.854040
formic,CH2O2,0,closed,440.404347,0.153812,439.825783,439.784367,440.733162,-0.328815,-0.907379,-0.948794
formic-anhydride,C2H2O3,0,closed,676.929610,0.336888,676.110083,675.962618,677.589750,-0.660140,-1.479667,-1.627132
furan,C4H4O,0,closed,890.649297,0.295727,890.111521,889.453264,890.967444,-0.318147,-0.855923,-1.514180
glyoxal,C2H2O2,0,closed,568.532369,0.233016,568.475265,568.429457,569.757267,-1.224898,-1.282002,-1.327810
h2,H2,0,closed,93.808901,0.002510,93.810156,93.810156,93.810156,-0.001255,0.000000,0.000000
h2ccn,C2H2N,1,open,454.053305,0.165191,453.516785,453.745198,454.722230,-0.668925,-1.205446,-0.977032
h2cn,CH2N,1,open,299.227893,0.082774,298.520062,299.022070,299.446894,-0.219001,-0.926831,-0.424824
h2co,CH2O,0,closed,331.335670,0.116818,331.326885,331.353240,331.930549,-0.594879,-0.603664,-0.577309
h2no,H2NO,1,open,221.598696,0.070438,221.333887,221.438681,222.018500,-0.419804,-0.684613,-0.579819
h2o,H2O,0,closed,185.164241,0.043275,184.871194,184.881861,185.181811,-0.017570,-0.310617,-0.299950
h2s,H2S,0,closed,149.604534,0.023680,149.454559,149.538018,149.602651,0.001883,-0.148092,-0.064633
hccf,C2FH,0,closed,353.703873,0.218753,353.569586,353.406433,354.263611,-0.559738,-0.694025,-0.857178
hcl,ClH,0,closed,87.930393,0.022625,87.790458,87.803008,87.862622,0.067771,-0.072164,-0.059613
hclo4,ClHO4,0,closed,169.475876,0.273514,168.286118,167.890160,170.110288,-0.634412,-1.824170,-2.220129
hcn,CHN,0,closed,276.543425,0.152504,276.734816,276.581076,277.446411,-0.902986,-0.711596,-0.865336
hcnh,CH2N,1,open,286.784380,0.188775,286.619972,286.959455,287.541156,-0.756776,-0.921184,-0.581701
hcno,CHNO,0,closed,313.162996,0.346270,312.589452,312.216084,314.039626,-0.876631,-1.450174,-1.823543
hco,CHO,1,open,248.594153,0.189088,248.678867,248.845785,249.478942,-0.884788,-0.800075,-0.633157
hcof,CFHO,0,closed,361.068324,0.137989,361.005573,361.000553,361.821963,-0.753639,-0.816390,-0.821410
hf,FH,0,closed,111.035291,0.038216,110.867119,110.863354,111.074197,-0.038906,-0.207078,-0.210843
hnc,CHN,0,closed,259.098034,0.125660,259.299465,259.328958,259.905012,-0.806977,-0.605547,-0.576054
hnco,CHNO,0,closed,380.474682,0.228563,380.351690,380.271369,381.429751,-0.955069,-1.078061,-1.158382
hnnn,HN3,0,closed,271.796316,0.400167,271.316899,271.043305,273.058238,-1.261922,-1.741339,-2.014933
hno,HNO,0,closed,170.536367,0.121919,170.158607,170.205042,171.176427,-0.640060,-1.017820,-0.971385
hocl,ClHO,0,closed,126.869865,0.101958,126.570543,126.592506,127.144087,-0.274222,-0.573544,-0.551581
hoclo,ClHO2,0,closed,127.727043,0.181649,127.157265,127.283394,128.804477,-1.077434,-1.647212,-1.521083
hoclo2,ClHO3,0,closed,151.052826,0.341171,149.726271,149.626497,151.744341,-0.691515,-2.018070,-2.117844
hocn,CHNO,0,closed,353.779174,0.183573,353.395766,353.173000,354.416723,-0.637550,-1.020958,-1.243724
hof,FHO,0,closed,123.906766,0.123205,123.532770,123.594894,124.380535,-0.473770,-0.847765,-0.785642
honc,CHNO,0,closed,295.796043,0.194188,295.824909,295.754628,296.892302,-1.096259,-1.067394,-1.137675
hoo,HO2,1,open,139.639683,0.115707,139.201682,139.502259,140.232680,-0.592996,-1.030998,-0.730421
hooh,H2O2,0,closed,213.275410,0.119999,212.866274,212.888237,213.713412,-0.438002,-0.847138,-0.825175
hs,HS,1,open,69.797879,0.017749,69.688692,69.762111,69.787211,0.010668,-0.098519,-0.025100
ketene,C2H2O,0,closed,476.617291,0.221414,476.307301,476.290358,477.209032,-0.591741,-0.901731,-0.918674
methanol,CH4O,0,closed,440.652840,0.083485,440.331556,440.325908,440.726259,-0.073419,-0.394703,-0.400351
n-butane,C4H10,0,closed,1154.590449,0.121316,1154.330033,1154.162488,1154.665123,-0.074674,-0.335090,-0.502635
n-pentane,C5H12,0,closed,1417.176181,0.125934,1417.062602,1416.815991,1417.469228,-0.293047,-0.406626,-0.653237
n2,N2,0,closed,199.932049,0.190549,199.885613,199.768269,200.795502,-0.863453,-0.909889,-1.027233
n2h,HN2,1,open,184.864291,0.101183,184.516023,184.925159,185.664366,-0.800075,-1.148342,-0.739206
n2h4,H4N2,0,closed,354.225333,0.104297,353.708893,353.776036,354.263611,-0.038278,-0.554718,-0.487575
n2o,N2O,0,closed,229.687293,0.367522,229.758201,229.273137,231.473185,-1.785892,-1.714983,-2.200048
n2o4,N2O4,0,closed,395.964753,0.499050,395.763323,395.159031,399.361462,-3.396709,-3.598139,-4.202431
nccn,C2N2,0,closed,448.096985,0.364410,447.675299,447.113678,449.273566,-1.176580,-1.598267,-2.159888
nh,HN,2,open,63.685937,0.014032,63.557925,63.626323,63.677779,0.008158,-0.119854,-0.051456
nh2,H2N,1,open,144.063625,0.025873,143.884785,143.977656,144.106296,-0.042671,-0.221511,-0.128639
nh2cl,ClH2N,0,closed,197.959159,0.082156,197.583908,197.641011,198.039480,-0.080321,-0.455572,-0.398469
nh2f,FH2N,0,closed,206.829005,0.105423,206.397279,206.507720,207.000943,-0.171938,-0.603664,-0.493222
nh2oh,H3NO,0,closed,290.311611,0.120673,289.660256,289.712967,290.321651,-0.010040,-0.661395,-0.608684
nh3,H3N,0,closed,241.941925,0.053083,241.662056,241.726062,241.938160,0.003765,-0.276104,-0.212098
no,NO,1,open,131.425584,0.151255,131.501513,131.744359,132.620990,-1.195406,-1.119477,-0.876631
no2,NO2,1,open,191.233512,0.239853,191.832784,191.973973,194.025929,-2.792417,-2.193146,-2.051956
o2,O2,2,open,103.953219,0.121840,104.064289,104.043581,105.164313,-1.211093,-1.100024,-1.120732
o3,O3,0,closed,114.522362,0.202452,112.597790,112.463503,116.593770,-2.071409,-3.995980,-4.130267
oclo,ClO2,1,open,54.850603,0.265044,54.441467,54.469077,56.351606,-1.501003,-1.910139,-1.882528
ocs,COS,0,closed,301.612429,0.248192,301.796916,301.696515,302.858035,-1.245606,-1.061119,-1.161520
of,FO,1,open,38.215327,0.170932,37.952401,38.546024,39.195497,-0.980170,-1.243096,-0.649472
oh,HO,1,open,82.981853,0.022625,82.852586,82.877686,83.003816,-0.021963,-0.151230,-0.126129
oxadiazole,C2H2N2O,0,closed,618.660963,0.311510,617.670126,616.896406,619.371304,-0.710341,-1.701178,-2.474897
oxetane,C3H6O,0,closed,836.735565,0.128639,836.315762,836.108056,836.904365,-0.168800,-0.588604,-0.796310
oxirane,C2H4O,0,closed,571.781613,0.137188,571.208697,571.046172,571.765925,0.015688,-0.557228,-0.719753
oxirene,C2H2O,0,closed,392.646483,0.185369,392.428737,392.258682,393.383807,-0.737324,-0.955069,-1.125124
p2,P2,0,closed,89.273263,0.141121,88.963901,88.896130,89.936540,-0.663278,-0.972640,-1.040411
p4,P4,0,closed,210.222576,0.202366,209.452622,208.676393,210.450362,-0.227786,-0.997740,-1.773969
pf3,F3P,0,closed,286.960082,0.165083,286.391559,286.400344,287.204811,-0.244729,-0.813252,-0.804467
pf5,F5P,0,closed,437.847246,0.203862,437.075409,436.944887,438.113310,-0.266064,-1.037901,-1.168423
ph3,H3P,0,closed,196.386620,0.023446,196.220958,196.421133,196.448116,-0.061496,-0.227158,-0.026983
propane,C3H8,0,closed,891.706023,0.089276,891.624447,891.534085,891.888628,-0.182605,-0.264181,-0.354543
propene,C3H6,0,closed,763.969567,0.105468,763.987137,763.898658,764.400666,-0.431099,-0.413529,-0.502008
propyne,C3H4,0,closed,625.911207,0.117872,626.275790,626.034199,626.790348,-0.879141,-0.514558,-0.756149
pyrrole,C4H5N,0,closed,950.820553,0.179226,950.159158,949.459485,950.898992,-0.078439,-0.739834,-1.439507
s2,S2,2,open,81.074224,0.091367,81.118150,81.262477,81.761974,-0.687750,-0.643825,-0.499498
s2o,OS2,0,closed,147.191132,0.250697,146.530992,146.552955,148.412266,-1.221133,-1.881273,-1.859311
s3,S3,0,closed,121.069795,0.154020,120.206970,120.392085,122.148484,-1.078689,-1.941514,-1.756399
s4-c2v,S4,0,closed,171.247963,0.260899,168.551555,168.331926,172.143419,-0.895456,-3.591864,-3.811493
sf6,F6S,0,closed,350.794739,0.317825,349.640121,349.448731,351.008719,-0.213981,-1.368598,-1.559989
si2h6,H6Si2,0,closed,449.786868,0.041667,449.510764,449.815734,449.891035,-0.104167,-0.380271,-0.075301
sif,FSi,1,open,115.825699,0.090718,115.957476,115.992616,116.268720,-0.443022,-0.311245,-0.276104
sif4,F4Si,0,closed,477.546005,0.176160,476.793621,476.597211,477.533455,0.012550,-0.739834,-0.936244
sih,HSi,1,open,59.205519,0.028063,59.186066,59.286468,59.288350,-0.082831,-0.102284,-0.001883
sih3f,FH3Si,0,closed,318.142911,0.057939,317.948383,317.997329,318.233900,-0.090989,-0.285517,-0.236571
sih4,H4Si,0,closed,272.521717,0.019604,272.408138,272.568780,272.580075,-0.058358,-0.171938,-0.011295
silole,C4H6Si,0,closed,971.074049,0.184368,970.806730,970.458462,971.689008,-0.614959,-0.882278,-1.230546
sio,OSi,0,closed,159.576914,0.252256,160.514413,160.594735,161.617575,-2.040661,-1.103162,-1.022840
so,OS,2,open,94.804131,0.114338,94.877550,94.980462,95.781791,-0.977660,-0.904241,-0.801330
so2,O2S,0,closed,185.297900,0.194679,184.936455,184.822875,186.633240,-1.335340,-1.696786,-1.810365
so3,O3S,0,closed,239.448830,0.268387,238.183144,237.937160,240.055632,-0.606802,-1.872488,-2.118472
ssh,HS2,1,open,128.106059,0.079374,127.602797,127.856310,128.165673,-0.059613,-0.562876,-0.309362
t-butadiene,C4H6,0,closed,902.832393,0.206374,902.426395,902.280813,903.142383,-0.309990,-0.715988,-0.861571
t-hcoh,CH2O,0,closed,275.403868,0.113718,275.024225,275.168552,275.650479,-0.246611,-0.626254,-0.481927
t-hono,HNO2,0,closed,259.586237,0.218031,258.650620,258.853306,260.496753,-0.910516,-1.846133,-1.643447
t-hooo,HO3,1,open,186.025184,0.235211,183.874709,184.698001,187.107637,-1.082454,-3.232929,-2.409636
t-n2h2,H2N2,0,closed,242.996769,0.142996,242.801613,242.822321,243.579725,-0.582956,-0.778112,-0.757404
tetrahedrane,C4H4,0,closed,697.104667,0.151624,697.286645,696.591992,697.605420,-0.500753,-0.318775,-1.013428
thiophene,C4H4S,0,closed,857.969859,0.285847,857.344859,856.615066,858.095988,-0.126129,-0.751129,-1.480922
trans-c2f2cl2,C2Cl2F2,0,closed,468.944105,0.197051,468.474728,468.234392,469.465565,-0.521460,-0.990837,-1.231174
