Molecule                                  E_HF (Eh)          E_CCSD (Eh)    E_UHF-UCCSD(T) (Eh)    E_UHF-UCCSDT (Eh)      E_CCSDT(Q) (Eh)        E_AFQMC (Eh)  E_AFQMC ERR (Eh)
ccl2h2                                 -958.025159         -958.461062           -958.471516         -958.472102         -958.473002         -958.472900          0.000170
ccl2o                                  -1031.733187        -1032.338927          -1032.358902        -1032.359521        -1032.361476        -1032.360530          0.000250
ccl3h                                  -1416.935304        -1417.515905          -1417.531433        -1417.532033        -1417.533384        -1417.533080          0.000180
ccl4                                   -1875.836794        -1876.564456          -1876.585665        -1876.586179        -1876.588031        -1876.587490          0.000210
cclh3                                  -499.107928         -499.402349           -499.408421         -499.408916         -499.409412         -499.409280          0.000080
cf                                     -137.180054         -137.467898           -137.474982         -137.475654         -137.476260         -137.475760          0.000200
cf2                                    -236.673146         -237.170938           -237.183012         -237.183679         -237.184917         -237.184780          0.000220
cf2cl2                                 -1155.740060        -1156.543418          -1156.562505        -1156.563111        -1156.564877        -1156.564360          0.000230
cf4                                    -435.665242         -436.543489           -436.560088         -436.560523         -436.562355         -436.561850          0.000260
ch                                      -38.269647          -38.367565            -38.369141          -38.369625          -38.369684          -38.369480          0.000040
ch2-sing                                -38.874896          -38.998344            -39.000695          -39.001388          -39.001528          -39.002570          0.000040
ch2-trip                                -38.919677          -39.020014            -39.021257          -39.021573          -39.021651          -39.021650          0.000020
ch2c                                    -76.765563          -77.015061            -77.023839          -77.024767          -77.025375          -77.024340          0.000140
ch2ch                                   -77.387730          -77.636283            -77.644164          -77.645469          -77.646028          -77.645440          0.000110
ch2clf                                 -597.961005         -598.436074           -598.445849         -598.446424         -598.447350         -598.446960          0.000150
ch2f2                                  -237.904211         -238.418632           -238.427668         -238.428149         -238.429134         -238.429260          0.000170
ch2nh                                   -94.025965          -94.331104            -94.340470          -94.340927          -94.341800          -94.340930          0.000140
ch2nh2                                  -94.579792          -94.878804            -94.885051          -94.885587          -94.886179          -94.886020          0.000120
ch3                                     -39.553243          -39.682695            -39.684457          -39.684801          -39.684923          -39.684900          0.000030
ch3f                                   -139.034581         -139.368914           -139.374430         -139.374860         -139.375418         -139.375140          0.000120
ch3nh                                   -94.586337          -94.876260            -94.882215          -94.882856          -94.883305          -94.883310          0.000080
ch3nh2                                  -95.199656          -95.520935            -95.527300          -95.527772          -95.528363          -95.528060          0.000090
ch3ph2                                 -381.493780         -381.771756           -381.778507         -381.779334         -381.779743         -381.779530          0.000090
ch4                                     -40.185215          -40.342291            -40.344756          -40.345109          -40.345251          -40.345180          0.000060
chf3                                   -336.786082         -337.482205           -337.495025         -337.495508         -337.496923         -337.496950          0.000250
cis-c2f2cl2                            -1193.562663        -1194.491628          -1194.517564        -1194.518353        -1194.520876        -1194.519820          0.000450
cl2                                    -918.960935         -919.256952           -919.263242         -919.263683         -919.264389         -919.264280          0.000090
cl2o                                   -993.713427         -994.202631           -994.216302         -994.216737         -994.218645         -994.217600          0.000230
clcn                                   -551.788567         -552.219956           -552.236702         -552.236915         -552.238927         -552.237470          0.000290
clcof                                  -671.681653         -672.325006           -672.343566         -672.344088         -672.346012         -672.345590          0.000280
clf                                    -558.844245         -559.186764           -559.193372         -559.193726         -559.194682         -559.194440          0.000140
clf3                                   -757.509135         -758.261246           -758.280054         -758.280820         -758.283625         -758.282140          0.000420
clf5                                   -956.154850         -957.323539           -957.355196         -957.356070         -957.360589         -957.358240          0.000510
clno                                   -588.714752         -589.222905           -589.244510         -589.245700         -589.248788         -589.246300          0.000440
clo                                    -534.255760         -534.565460           -534.572925         -534.573758         -534.574697         -534.573870          0.000110
clo3                                   -683.674299         -684.388582           -684.416004         -684.416371         -684.420525         -684.417450          0.000400
cloo                                   -609.014983         -609.554663           -609.579123         -609.581647         -609.586524         -609.583980          0.000330
cloocl                                 -1068.478278        -1069.164346          -1069.186313        -1069.186856        -1069.190143        -1069.188630          0.000510
cn                                      -92.212892          -92.476680            -92.489073          -92.491606          -92.493630          -92.491070          0.000390
co                                     -112.748970         -113.043857           -113.054592         -113.055051         -113.056151         -113.054870          0.000320
co2                                    -187.650611         -188.129626           -188.147692         -188.147937         -188.150027         -188.148990          0.000310
cs                                     -435.329495         -435.590311           -435.604674         -435.605421         -435.606484         -435.604170          0.000310
cs2                                    -832.925928         -833.330629           -833.353288         -833.353980         -833.356044         -833.353380          0.000470
cyclobutadiene                         -153.641347         -154.177998           -154.201313         -154.202340         -154.204477         -154.203360          0.000260
cyclobutane                            -156.082108         -156.647071           -156.663398         -156.664187         -156.665277         -156.664980          0.000150
cyclobutene                            -154.892484         -155.438560           -155.457570         -155.458247         -155.459689         -155.459560          0.000330
cyclopentadiene                        -192.788269         -193.457640           -193.483925         -193.484613         -193.486720         -193.486050          0.000240
cyclopropane                           -117.046752         -117.468220           -117.480027         -117.480618         -117.481450         -117.480910          0.000120
cyclopropene                           -115.818779         -116.223905           -116.238690         -116.239167         -116.240386         -116.239650          0.000230
cyclopropyl                            -116.407395         -116.802411           -116.813858         -116.814625         -116.815416         -116.815050          0.000100
dioxetan2one                           -301.489059         -302.291559           -302.317759         -302.318148         -302.320905         -302.320310          0.000370
dioxetane                              -227.732307         -228.368060           -228.385185         -228.385723         -228.387411         -228.387170          0.000200
dioxirane                              -188.609078         -189.123376           -189.140170         -189.140366         -189.142773         -189.141190          0.000240
dithiotane                             -873.082943         -873.640631           -873.659161         -873.659946         -873.661491         -873.661050          0.000210
ethanol                                -154.065225         -154.541269           -154.551357         -154.551984         -154.552958         -154.552590          0.000130
f2                                     -198.685577         -199.088479           -199.097524         -199.097794         -199.099495         -199.098950          0.000200
f2co                                   -311.633924         -312.314031           -312.331049         -312.331455         -312.333376         -312.332620          0.000360
f2o                                    -273.463516         -274.055678           -274.071624         -274.072185         -274.074834         -274.072920          0.000310
fccf                                   -274.476474         -275.102888           -275.120975         -275.121474         -275.123512         -275.122850          0.000330
fno                                    -228.632994         -229.183444           -229.203696         -229.204546         -229.207456         -229.204160          0.000530
fo2                                    -248.901337         -249.490754           -249.515797         -249.517582         -249.522618         -249.519950          0.000470
foof                                   -348.216627         -349.025408           -349.056176         -349.057289         -349.063137         -349.059860          0.000390
formamide                              -168.931016         -169.413505           -169.427504         -169.428101         -169.429586         -169.428940          0.000350
formic                                 -188.766834         -189.265657           -189.279740         -189.280209         -189.281881         -189.281340          0.000240
formic-anhydride                       -301.498079         -302.299806           -302.326610         -302.327333         -302.330177         -302.329100          0.000530
furan                                  -228.628732         -229.339295           -229.367053         -229.367360         -229.369930         -229.369420          0.000460
glyoxal                                -226.602582         -227.224133           -227.245133         -227.245906         -227.248204         -227.246230          0.000370
h2                                       -1.124583           -1.148052             -1.148052           -1.148052           -1.148052           -1.148050          0.000000
h2ccn                                  -131.310694         -131.705681           -131.720537         -131.721652         -131.723286         -131.722240          0.000260
h2cn                                    -93.433816          -93.704600            -93.713157          -93.714397          -93.715129          -93.714800          0.000130
h2co                                   -113.869211         -114.187606           -114.196886         -114.197351         -114.198362         -114.197410          0.000180
h2no                                   -130.391996         -130.732450           -130.739726         -130.740134         -130.741160         -130.740500          0.000110
h2o                                     -76.003157          -76.201357            -76.203117          -76.203246          -76.203793          -76.203760          0.000070
h2s                                    -398.684774         -398.834781           -398.837280         -398.837671         -398.837875         -398.837820          0.000030
hccf                                   -175.651781         -176.096670           -176.111055         -176.111493         -176.113013         -176.112150          0.000340
hcl                                    -460.081551         -460.236249           -460.238074         -460.238287         -460.238526         -460.238560          0.000030
hclo4                                  -759.068194         -759.976376           -760.006152         -760.006162         -760.010120         -760.008990          0.000430
hcn                                     -92.878601          -93.167513            -93.179162          -93.179357          -93.180791          -93.179370          0.000240
hcnh                                    -93.400090          -93.684378            -93.694193          -93.695174          -93.696156          -93.694970          0.000300
hcno                                   -167.638538         -168.124397           -168.146250         -168.146207         -168.149237         -168.147850          0.000550
hco                                    -113.255218         -113.555755           -113.565900         -113.566589         -113.567689         -113.566270          0.000300
hcof                                   -212.758638         -213.258932           -213.272478         -213.272969         -213.274479         -213.273300          0.000220
hf                                     -100.002000         -100.202281           -100.203530         -100.203600         -100.204046         -100.204020          0.000050
hnc                                     -92.858663          -93.140363            -93.151377          -93.151864          -93.152837          -93.151570          0.000200
hnco                                   -167.770903         -168.235931           -168.254236         -168.254660         -168.256630         -168.255110          0.000360
hnnn                                   -163.848328         -164.344135           -164.367155         -164.367106         -164.370416         -164.368460          0.000640
hno                                    -129.792672         -130.147481           -130.158895         -130.159210         -130.160860         -130.159850          0.000190
hocl                                   -534.861552         -535.202747           -535.209824         -535.210164         -535.211256         -535.210730          0.000160
hoclo                                  -609.565502         -610.103814           -610.120709         -610.121327         -610.124033         -610.122220          0.000290
hoclo2                                 -684.312080         -685.041618           -685.066625         -685.066995         -685.070721         -685.069510          0.000540
hocn                                   -167.727038         -168.195062           -168.211279         -168.211476         -168.213582         -168.212570          0.000290
hof                                    -174.733134         -175.125438           -175.133664         -175.133951         -175.135382         -175.134650          0.000190
honc                                   -167.633086         -168.102824           -168.119534         -168.119974         -168.121911         -168.120170          0.000310
hoo                                    -150.176510         -150.533038           -150.541010         -150.541713         -150.543015         -150.542050          0.000180
hooh                                   -150.762181         -151.149884           -151.157680         -151.157939         -151.159392         -151.158680          0.000190
hs                                     -398.083963         -398.209068           -398.210887         -398.211262         -398.211403         -398.211360          0.000020
ketene                                 -151.731938         -152.171996           -152.188304         -152.189011         -152.190588         -152.189640          0.000350
methanol                               -115.028196         -115.363090           -115.369152         -115.369566         -115.370295         -115.370180          0.000130
n-butane                               -157.279108         -157.859264           -157.873830         -157.874807         -157.875696         -157.875600          0.000180
n-pentane                              -196.310796         -197.032692           -197.051454         -197.052616         -197.053767         -197.053320          0.000170
n2                                     -108.953751         -109.263599           -109.275542         -109.275613         -109.277316         -109.275970          0.000300
n2h                                    -109.432053         -109.739896           -109.750327         -109.751237         -109.752481         -109.751240          0.000160
n2h4                                   -111.162294         -111.511114           -111.517787         -111.518152         -111.518995         -111.518970          0.000160
n2o                                    -183.695396         -184.208931           -184.233097         -184.232694         -184.236335         -184.233510          0.000590
n2o4                                   -408.066314         -409.173408           -409.227493         -409.227236         -409.234275         -409.228850          0.000790
nccn                                   -184.602786         -185.164152           -185.191174         -185.191159         -185.194711         -185.192870          0.000580
nh                                      -54.961040          -55.077921            -55.079066          -55.079304          -55.079419          -55.079450          0.000020
nh2                                     -55.554721          -55.704616            -55.706353          -55.706630          -55.706868          -55.706820          0.000040
nh2cl                                  -515.059914         -515.383844           -515.390821         -515.391234         -515.392046         -515.391860          0.000130
nh2f                                   -154.958662         -155.326679           -155.333547         -155.333928         -155.334857         -155.334630          0.000160
nh2oh                                  -130.974213         -131.340937           -131.347889         -131.348214         -131.349286         -131.349280          0.000190
nh3                                     -56.176098          -56.359135            -56.361449          -56.361680          -56.362051          -56.362080          0.000080
no                                     -129.260132         -129.586906           -129.598013         -129.598641         -129.600140         -129.598240          0.000240
no2                                    -204.047789         -204.580301           -204.604107         -204.604685         -204.608126         -204.603670          0.000380
o2                                     -149.627704         -149.976020           -149.985737         -149.985928         -149.987852         -149.985900          0.000190
o3                                     -224.266737         -224.876485           -224.909286         -224.909408         -224.916197         -224.912860          0.000320
oclo                                   -608.957254         -609.485657           -609.505551         -609.506012         -609.509294         -609.506800          0.000420
ocs                                    -510.290614         -510.731779           -510.751824         -510.752345         -510.754388         -510.752330          0.000390
of                                     -174.134612         -174.489952           -174.498005         -174.499139         -174.500353         -174.498810          0.000270
oh                                      -75.382514          -75.540069            -75.541262          -75.541414          -75.541684          -75.541640          0.000030
oxadiazole                             -260.557154         -261.336237           -261.370584         -261.370343         -261.374466         -261.373360          0.000490
oxetane                                -191.902081         -192.502774           -192.519503         -192.520217         -192.521621         -192.521350          0.000190
oxirane                                -152.863197         -153.325045           -153.338095         -153.338570         -153.339830         -153.339850          0.000210
oxirene                                -151.584916         -152.037522           -152.054635         -152.055098         -152.057004         -152.055820          0.000290
p2                                     -681.465358         -681.710202           -681.724435         -681.724871         -681.726681         -681.725570          0.000220
p4                                     -1362.988466        -1363.470696          -1363.499108        -1363.498959        -1363.502090        -1363.501610          0.000320
pf3                                    -639.137951         -639.817877           -639.830447         -639.830961         -639.832649         -639.832320          0.000250
pf5                                    -838.047932         -839.108044           -839.125725         -839.126169         -839.128657         -839.128350          0.000290
ph3                                    -342.462619         -342.599002           -342.601863         -342.602454         -342.602573         -342.602450          0.000040
propane                                -118.247417         -118.685858           -118.696249         -118.697038         -118.697669         -118.697390          0.000130
propene                                -117.062226         -117.481659           -117.494290         -117.495082         -117.495948         -117.495270          0.000160
propyne                                -115.860521         -116.261741           -116.276277         -116.276825         -116.278096         -116.276700          0.000180
pyrrole                                -208.807340         -209.503130           -209.530575         -209.530833         -209.533248         -209.533150          0.000270
s2                                     -795.060681         -795.320697           -795.330376         -795.331122         -795.332120         -795.330900          0.000140
s2o                                    -869.846902         -870.322000           -870.344568         -870.345231         -870.348465         -870.346380          0.000400
s3                                     -1192.539359        -1192.969966          -1192.993221        -1192.994290        -1192.997392        -1192.995490          0.000240
s4-c2v                                 -1590.040776        -1590.632572          -1590.670816        -1590.671498        -1590.677976        -1590.676300          0.000410
sf6                                    -994.005979         -995.298872           -995.323184         -995.323593         -995.326840         -995.326620          0.000470
si2h6                                  -581.326361         -581.536817           -581.542187         -581.543469         -581.543659         -581.543540          0.000050
sif                                    -388.358718         -388.622262           -388.627453         -388.627983         -388.628568         -388.627910          0.000140
sif4                                   -686.934038         -687.772738           -687.785204         -687.785593         -687.787560         -687.787720          0.000250
sih                                    -289.427348         -289.507143           -289.508686         -289.509244         -289.509282         -289.509170          0.000040
sih3f                                  -390.154484         -390.442653           -390.447180         -390.447732         -390.448254         -390.448160          0.000090
sih4                                   -291.234516         -291.344173           -291.346311         -291.346965         -291.347018         -291.346950          0.000020
silole                                 -443.847311         -444.473664           -444.499344         -444.500431         -444.502515         -444.501570          0.000280
sio                                    -363.789774         -364.069090           -364.080835         -364.081473         -364.083207         -364.079960          0.000400
so                                     -472.348107         -472.652114           -472.661700         -472.662234         -472.663681         -472.662050          0.000180
so2                                    -547.179050         -547.694756           -547.715168         -547.715469         -547.718593         -547.716380          0.000310
so3                                    -621.992222         -622.684941           -622.709972         -622.710174         -622.713858         -622.712800          0.000420
ssh                                    -795.628352         -795.895971           -795.903732         -795.904652         -795.905347         -795.905130          0.000120
t-butadiene                            -154.913716         -155.455565           -155.475284         -155.476296         -155.477757         -155.477270          0.000320
t-hcoh                                 -113.786332         -114.099144           -114.107162         -114.107815         -114.108674         -114.108270          0.000180
t-hono                                 -204.645533         -205.190809           -205.209866         -205.210542         -205.213332         -205.211880          0.000340
t-hooo                                 -224.931348         -225.501745           -225.522151         -225.523799         -225.527846         -225.526090          0.000370
t-n2h2                                 -109.995661         -110.331795           -110.342489         -110.342780         -110.344053         -110.343160          0.000230
tetrahedrane                           -153.595495         -154.129561           -154.149817         -154.149954         -154.151657         -154.150870          0.000230
thiophene                              -551.306625         -551.976445           -552.005439         -552.005778         -552.008327         -552.008070          0.000450
trans-c2f2cl2                          -1193.565595        -1194.494333          -1194.520250        -1194.521027        -1194.523541        -1194.522610          0.000300

Atom                                  E_HF (Eh)          E_CCSD (Eh)    E_UHF-UCCSD(T) (Eh)    E_UHF-UCCSDT (Eh)      E_CCSDT(Q) (Eh)        E_AFQMC (Eh)  E_AFQMC ERR (Eh)
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
al                                     -241.873510         -241.920585           -241.921269         -241.921629         -241.921629         -241.921740          0.000020
b                                       -24.529962          -24.588605            -24.589408          -24.589772          -24.589772          -24.589870          0.000020
c                                       -37.686544          -37.759451            -37.760377          -37.760688          -37.760710          -37.760710          0.000020
cl                                     -459.471143         -459.597739           -459.598893         -459.599086         -459.599230         -459.599150          0.000020
f                                       -99.375240          -99.526690            -99.527574          -99.527650          -99.527760          -99.527790          0.000030
h                                        -0.499278           -0.499278             -0.499278           -0.499278           -0.499278           -0.499280          0.000000
n                                       -54.391115          -54.477874            -54.478502          -54.478631          -54.478664          -54.478680          0.000010
o                                       -74.792166          -74.909201            -74.909950          -74.910062          -74.910131          -74.910120          0.000020
p                                      -340.709048         -340.790316           -340.791331         -340.791603         -340.791679         -340.791650          0.000010
s                                      -397.496802         -397.599416           -397.600553         -397.600811         -397.600912         -397.600850          0.000020
si                                     -288.850077         -288.914092           -288.915089         -288.915487         -288.915522         -288.915540          0.000020
