,,,,,,,,,,,,,,,,,,
Acronym:,"VDZ(d,s)",,,,,,,,,,,,,,,,,
atom,HF,CCSD,UHF-UCCSD(T),RHF-UCCSD(T),CCSD(T)Λ,UHF-UCCSDT,RHF-UCCSDT,CCSDT(Q),CCSDT-1b,CCSDT-3,CCSDTQ-3,CCSDT(Q)/A,CCSDT(Q)/B,CCSDT(Q)Λ,CCSDTQ,CCSDTQ(5),CCSDTQ(5)Λ,CCSDTQ5
formamide,-168.931016,-169.413505,-169.427504,,-169.427410,-169.428101,,-169.429586,,,,-169.429369,-169.429449,-169.429528,-169.429414,-169.429436,-169.429487,
cyclobutadiene,-153.641347,-154.177998,-154.201313,,-154.200235,-154.202340,,-154.204477,,,,-154.204438,-154.204451,-154.204395,-154.204194,-154.204392,-154.204418,
allyl,-116.461793,-116.848444,-116.860337,-116.860798,-116.859937,-116.861844,-116.861693,-116.862721,,,,-116.862668,-116.862678,-116.862669,-116.862636,-116.862698,-116.862709,
cyclopropyl,-116.407395,-116.802411,-116.813858,-116.813861,-116.813587,-116.814625,-116.814610,-116.815416,,,,-116.815390,-116.815399,-116.815408,-116.815357,-116.815409,-116.815421,
h2ccn,-131.310694,-131.705681,-131.720537,-131.720933,-131.720006,-131.721652,-131.721494,-131.723286,,,,-131.723213,-131.723229,-131.723214,-131.723093,-131.723259,-131.723263,
oxirene,-151.584916,-152.037522,-152.054635,,-152.054093,-152.055098,,-152.057004,-152.055541,-152.053548,-152.056450,-152.056904,-152.056946,-152.056949,-152.056773,-152.056922,-152.056945,missing
oxirane,-152.863197,-153.325045,-153.338095,,-153.337900,-153.338570,,-153.339830,-153.338717,-153.337323,-153.339497,-153.339761,-153.339786,-153.339809,-153.339700,-153.339772,-153.339787,missing
dioxirane,-188.609078,-189.123376,-189.140170,,-189.139629,-189.140366,,-189.142773,-189.140807,-189.138961,-189.142175,-189.142710,-189.142731,-189.142674,-189.142448,-189.142640,-189.142638,missing
ketene,-151.731938,-152.171996,-152.188304,,-152.188170,-152.189011,,-152.190588,-152.190036,-152.188017,-152.190040,-152.190271,-152.190394,-152.190516,-152.190389,-152.190408,-152.190486,missing
acetaldehyde,-152.914718,-153.373173,-153.386556,,-153.386480,-153.387240,,-153.388482,-153.387492,-153.386036,-153.388121,-153.388337,-153.388388,-153.388437,-153.388343,-153.388398,-153.388421,missing
formic,-188.766834,-189.265657,-189.279740,,-189.279645,-189.280209,,-189.281881,-189.281121,-189.279461,-189.281417,-189.281649,-189.281736,-189.281819,-189.281675,-189.281694,-189.281749,missing
acetic,-227.811027,-228.449493,-228.467487,,-228.467347,-228.468106,,-228.469989,-228.469017,-228.466927,-228.469452,-228.469746,-228.469834,-228.469936,-228.4697835,costly,costly,missing
methanol,-115.028196,-115.363090,-115.369152,,-115.369104,-115.369566,,-115.370295,-115.369375,-115.368831,-115.370156,-115.370279,-115.370285,-115.370289,-115.370244,-115.370273,-115.370277,missing
ethanol,-154.065225,-154.541269,-154.551357,,-154.551243,-154.551984,,-154.552958,-154.551704,-154.550757,-154.552738,-154.552931,-154.552941,-154.552952,-154.552889,-154.552932,-154.552941,missing
glyoxal,-226.602582,-227.224133,-227.245133,,-227.244890,-227.245906,,-227.248204,-227.246831,-227.244425,-227.247548,-227.247936,-227.248033,-227.248106,-227.247925,-227.248024,-227.248072,missing
t-hcoh,-113.786332,-114.099144,-114.107162,,-114.107100,-114.107815,,-114.108674,-114.107843,-114.107023,-114.108433,-114.108534,-114.108581,-114.108622,-114.108584,-114.108587,-114.108612,missing
c-hcoh,-113.777719,-114.090850,-114.098972,,-114.098892,-114.099640,,-114.100509,-114.099633,-114.098812,-114.100261,-114.100368,-114.100416,-114.100454,-114.100417,-114.100419,-114.100445,missing
hcnh,-93.400090,-93.684378,-93.694193,-93.694469,-93.693984,-93.695174,-93.695140,-93.696156,-93.694695,-93.693893,-93.695785,-93.696000,-93.696059,-93.696048,-93.695970,-93.696050,-93.696051,missing
hocn,-167.727038,-168.195062,-168.211279,,-168.210870,-168.211476,,-168.213582,-168.212266,-168.210364,-168.212969,-168.213470,-168.213513,-168.213515,-168.213276,-168.213451,-168.213466,missing
honc,-167.633086,-168.102824,-168.119534,,-168.119207,-168.119974,,-168.121911,-168.120727,-168.118717,-168.121317,-168.121717,-168.121786,-168.121834,-168.121662,-168.121787,-168.121819,missing
hnco,-167.770903,-168.235931,-168.254236,,-168.253993,-168.254660,,-168.256630,-168.256656,-168.254172,-168.255920,-168.256176,-168.256358,-168.256532,-168.256341,-168.256315,-168.256450,missing
hcno,-167.638538,-168.124397,-168.146250,,-168.145807,-168.146207,,-168.149237,-168.149359,-168.146129,-168.148116,-168.148375,-168.148712,-168.148959,-168.148662,-168.148610,-168.148881,missing
c-n2h2,-109.985347,-110.322671,-110.333582,,-110.333216,-110.333888,,-110.335189,-110.333885,-110.332744,-110.334858,-110.335176,-110.335180,-110.335140,-110.335047,-110.335175,-110.335168,missing
hnnn,-163.848328,-164.344135,-164.367155,,-164.366359,-164.367106,,-164.370416,-164.369469,-164.366253,-164.369259,-164.369961,-164.370144,-164.370192,-164.369814,-164.370020,-164.370139,missing
hnc,-92.858663,-93.140363,-93.151377,,-93.151225,-93.151864,,-93.152837,-93.152271,-93.150965,-93.152504,-93.152696,-93.152748,-93.152799,-93.152722,-93.152787,-93.152806,missing
t-hono,-204.645533,-205.190809,-205.209866,,-205.209480,-205.210542,,-205.213332,-205.211946,-205.209641,-205.212473,-205.212922,-205.213090,-205.213141,-205.212897,-205.213007,-205.213090,missing
c-hono,-204.648389,-205.192860,-205.211965,,-205.211611,-205.212524,,-205.215255,-205.214022,-205.211623,-205.214414,-205.214873,-205.215024,-205.215088,-205.214837,-205.214954,-205.215032,missing
nh2cl,-515.059914,-515.383844,-515.390821,,-515.390659,-515.391234,,-515.392046,-515.390990,-515.390345,-515.391884,-515.392040,-515.392042,-515.392029,-515.392008,-515.392061,-515.392062,missing
t-hooo,-224.931348,-225.501745,-225.522151,-225.522152,-225.521005,-225.523799,-225.523767,-225.527846,-225.523228,-225.521317,-225.526580,-225.527564,-225.527669,-225.527366,-225.527138,-225.527468,-225.527483,missing
c-hooo,-224.937058,-225.502597,-225.521320,-225.522315,-225.520486,-225.522695,-225.523606,-225.526245,-225.522369,-225.520514,-225.525166,-225.526008,-225.526087,-225.525891,-225.525655,-225.526196,-225.526206,missing
ch3f,-139.034581,-139.368914,-139.374430,,-139.374507,-139.374860,,-139.375418,-139.374815,-139.374321,-139.375318,-139.375383,-139.375396,-139.375411,-139.375388,-139.375404,-139.375411,missing
ch2f2,-237.904211,-238.418632,-238.427668,,-238.427817,-238.428149,,-238.429134,-238.428515,-238.427627,-238.428944,-238.429033,-238.429071,-238.429117,-238.429071,-238.429069,-238.429096,missing
cf4,-435.665242,-436.543489,-436.560088,,-436.560326,-436.560523,,-436.562355,-436.561859,-436.560104,-436.561987,-436.562130,-436.562214,-436.562338,-436.562243,costly,costly,missing
sih3f,-390.154484,-390.442653,-390.447180,,-390.447253,-390.447732,,-390.448254,-390.447655,-390.447271,-390.448158,-390.448187,-390.448213,-390.448242,-390.448230,-390.448211,-390.448235,missing
sif4,-686.934038,-687.772738,-687.785204,,-687.785520,-687.785593,,-687.787560,-687.786863,-687.785553,-687.787237,-687.787363,-687.787437,-687.787536,-687.787399,costly,costly,missing
c2h3f,-176.884210,-177.344025,-177.356176,,-177.356016,-177.356888,,-177.357942,-177.356941,-177.355717,-177.357652,-177.357843,-177.357880,-177.357910,-177.357855,-177.357888,-177.357917,missing
c2h5f,-178.073364,-178.548668,-178.558186,,-178.558219,-178.558858,,-178.559648,-178.558734,-178.557840,-178.559469,-178.559594,-178.559614,-178.559639,-178.559604,-178.559628,-178.559643,missing
fccf,-274.476474,-275.102888,-275.120975,,-275.120738,-275.121474,,-275.123512,-275.122442,-275.120418,-275.122949,-275.123316,-275.123390,-275.123442,-275.123290,-275.123368,-275.123433,missing
hccf,-175.651781,-176.096670,-176.111055,,-176.110785,-176.111493,,-176.113013,-176.112011,-176.110417,-176.112556,-176.112894,-176.112939,-176.112960,-176.112836,-176.112935,-176.112967,missing
hcof,-212.758638,-213.258932,-213.272478,,-213.272513,-213.272969,,-213.274479,-213.274022,-213.272461,-213.274059,-213.274221,-213.274319,-213.274415,-213.274293,-213.274288,-213.274352,missing
f2co,-311.633924,-312.314031,-312.331049,,-312.331102,-312.331455,,-312.333376,-312.333000,-312.331045,-312.332887,-312.333085,-312.333195,-312.333324,-312.333180,-312.333151,-312.333240,missing
ch2-sing,-38.874896,-38.998344,-39.000695,,-39.000614,-39.001388,,-39.001528,-39.000746,-39.000608,-39.001494,-39.001527,-39.001528,-39.001523,-39.001554,-39.001558,-39.001559,missing
propane,-118.247417,-118.685858,-118.696249,,-118.696119,-118.697038,,-118.697669,-118.696505,-118.695547,-118.697480,-118.697657,-118.697662,-118.697669,-118.697628,-118.697673,-118.697680,missing
propene,-117.062226,-117.481659,-117.494290,,-117.493963,-117.495082,,-117.495948,-117.494625,-117.493391,-117.495666,-117.495927,-117.495934,-117.495933,-117.495870,-117.495944,-117.495952,missing
propyne,-115.860521,-116.261741,-116.276277,,-116.275885,-116.276825,,-116.278096,-116.276800,-116.275230,-116.277666,-116.278065,-116.278077,-116.278066,-116.277944,-116.278091,-116.278093,missing
allene,-115.857821,-116.259302,-116.274230,,-116.273711,-116.275054,,-116.276149,-116.274698,-116.273135,-116.275750,-116.276101,-116.276120,-116.276122,-116.276029,-116.276124,-116.276138,missing
b2h6,-52.801181,-53.012791,-53.017944,,-53.017842,-53.018809,,-53.018935,-53.018047,-53.017692,-53.018859,-53.018917,-53.018925,-53.018933,-53.018938,-53.018936,-53.018942,missing
bhf2,-224.263244,-224.723939,-224.732003,,-224.732251,-224.732427,,-224.733343,-224.733127,-224.732289,-224.733149,-224.733169,-224.733233,-224.733310,-224.733266,-224.733211,-224.733266,missing
bf3,-323.201094,-323.844094,-323.854924,,-323.855208,-323.855307,,-323.856667,-323.856330,-323.855208,-323.856407,-323.856479,-323.856548,-323.856640,-323.856562,-323.856510,-323.856572,missing
c2h6,-79.215805,-79.512677,-79.518941,,-79.518893,-79.519531,,-79.519907,-79.519091,-79.518550,-79.519802,-79.519902,-79.519904,-79.519906,-79.519887,-79.519915,-79.519918,missing
h2cn,-93.433816,-93.704600,-93.713157,-93.713575,-93.712857,-93.714397,-93.714375,-93.715129,-93.713350,-93.712793,-93.714866,-93.715080,-93.715091,-93.715077,-93.715057,-93.715115,-93.715116,missing
nccn,-184.602786,-185.164152,-185.191174,,-185.190185,-185.191159,,-185.194711,-185.192654,-185.189315,-185.193570,-185.194590,-185.194636,-185.194561,-185.194164,-185.194568,-185.194580,missing
ch2nh2,-94.579792,-94.878804,-94.885051,-94.885055,-94.884976,-94.885587,-94.885570,-94.886179,-94.885251,-94.884696,-94.886035,-94.886151,-94.886158,-94.886161,-94.886134,-94.886165,-94.886168,missing
ch3nh,-94.586337,-94.876260,-94.882215,-94.882206,-94.882135,-94.882856,-94.882834,-94.883305,-94.882379,-94.881886,-94.883192,-94.883290,-94.883295,-94.883296,-94.883291,-94.883315,-94.883318,missing
ch3nh2,-95.199656,-95.520935,-95.527300,,-95.527237,-95.527772,,-95.528363,-95.527468,-95.526897,-95.528232,-95.528356,-95.528358,-95.528358,-95.528325,-95.528361,-95.528363,missing
cf2,-236.673146,-237.170938,-237.183012,,-237.183158,-237.183679,,-237.184917,-237.184731,-237.183425,-237.184569,-237.184587,-237.184709,-237.184839,-237.184794,-237.184686,-237.184798,missing
n2h,-109.432053,-109.739896,-109.750327,-109.750703,-109.750000,-109.751237,-109.751208,-109.752481,-109.750623,-109.749841,-109.752091,-109.752412,-109.752431,-109.752402,-109.752321,-109.752453,-109.752441,missing
t-n2h2,-109.995661,-110.331795,-110.342489,,-110.342142,-110.342780,,-110.344053,-110.342789,-110.341674,-110.343736,-110.344043,-110.344046,-110.344007,-110.343918,-110.344044,-110.344037,missing
n2h4,-111.162294,-111.511114,-111.517787,,-111.517692,-111.518152,,-111.518995,-111.517945,-111.517328,-111.518832,-111.518992,-111.518993,-111.518986,-111.518938,-111.518989,-111.518990,missing
fo2,-248.901337,-249.490754,-249.515797,-249.515769,-249.513883,-249.517582,-249.517534,-249.522618,-249.517835,-249.515113,-249.521025,-249.522306,-249.522411,-249.521937,-249.521668,-249.522106,-249.522111,missing
foof,-348.216627,-349.025408,-349.056176,,-349.054240,-349.057289,,-349.063137,-349.058334,-349.054786,-349.061327,-349.062790,-349.062931,-349.062566,-349.0621026,-349.062530,-349.062618,missing
alf3,-540.454926,-541.079456,-541.088293,,-541.088710,-541.088681,,-541.090199,-541.089930,-541.088935,-541.089942,-541.089962,-541.090053,-541.090155,-541.090065,-541.089997,-541.090080,missing
si2h6,-581.326361,-581.536817,-581.542187,,-581.542024,-581.543469,,-581.543659,-581.542220,-581.541936,-581.543564,-581.543635,-581.543645,-581.543646,-581.543678,-581.543674,-581.543682,missing
p4,-1362.988466,-1363.470696,-1363.499108,,-1363.497584,-1363.498959,,-1363.502090,-1363.500242,-1363.496353,-1363.500797,-1363.501946,-1363.501997,-1363.502008,-1363.501674,-1363.501907,-1363.502021,missing
so2,-547.179050,-547.694756,-547.715168,,-547.714646,-547.715469,,-547.718593,-547.718084,-547.715122,-547.717536,-547.717985,-547.718231,-547.718377,-547.718040,-547.718082,-547.718237,missing
so3,-621.992222,-622.684941,-622.709972,,-622.709435,-622.710174,,-622.713858,-622.713335,-622.709829,-622.712726,-622.713266,-622.713506,-622.713696,-622.713313,-622.713312,-622.713524,missing
ocs,-510.290614,-510.731779,-510.751824,,-510.751510,-510.752345,,-510.754388,-510.754626,-510.751766,-510.753593,-510.753860,-510.754076,-510.754289,-510.754134,-510.754069,-510.754252,missing
cs2,-832.925928,-833.330629,-833.353288,,-833.352598,-833.353980,,-833.356044,-833.356104,-833.352680,-833.355119,-833.355519,-833.355745,-833.355964,-833.355880,-833.355812,-833.356042,missing
s2o,-869.846902,-870.322000,-870.344568,,-870.343579,-870.345231,,-870.348465,-870.347341,-870.344122,-870.347208,-870.347787,-870.348072,-870.348150,-870.347923,-870.347978,-870.348166,missing
s3,-1192.539359,-1192.969966,-1192.993221,,-1192.991646,-1192.994290,,-1192.997392,-1192.994958,-1192.991873,-1192.996125,-1192.996975,-1192.997157,-1192.997053,-1192.996996,-1192.997150,-1192.997281,missing
s4-c2v,-1590.040776,-1590.632572,-1590.670816,,-1590.667818,-1590.671498,,-1590.677976,-1590.674941,-1590.668923,-1590.675294,-1590.677068,-1590.677483,-1590.677083,-1590.676902,-1590.677219,-1590.677623,missing
ccl2,-956.763559,-957.183323,-957.198074,,-957.197660,-957.199194,,-957.200427,-957.199297,-957.197724,-957.199936,-957.200093,-957.200220,-957.200324,-957.200340,-957.200254,-957.200372,missing
alcl3,-1620.651485,-1621.139704,-1621.149846,,-1621.149575,-1621.150625,,-1621.151656,-1621.150292,-1621.149362,-1621.151449,-1621.151572,-1621.151606,-1621.151626,-1621.151668,-1621.151645,-1621.151687,missing
